,0
mean_ax,-0.04404860276442308
mean_ay,0.9022772373297275
mean_az,0.20020939753605768
mean_w,0.7411176012112544
mean_x,0.41308064696689445
mean_y,-0.07394323985686359
mean_z,0.3051650189340879
std_dev_ax,0.20308307411141388
std_dev_ay,0.03864200100122259
std_dev_az,0.3202992818636798
std_dev_w,0.0586094268115528
std_dev_x,0.1276873676301763
std_dev_y,0.3685511094227822
std_dev_z,0.16198176582885104
skewness_ax,-0.7421641491892887
skewness_ay,-0.5445482225269884
skewness_az,-0.6539390295184002
skewness_w,-1.139047951871101
skewness_x,-0.9688141618027247
skewness_y,0.7245704561158398
skewness_z,0.45259612761507173
kurtosis_ax,1.6505436151558683
kurtosis_ay,1.7241435905800788
kurtosis_az,-1.1071651774182414
kurtosis_w,-0.05674743797185133
kurtosis_x,-0.7327364088169688
kurtosis_y,-1.22485124299128
kurtosis_z,-1.5729287366140847
max_ax,0.7236328125
max_ay,1.02490234375
max_az,0.63037109375
max_w,0.8344860672950745
max_x,0.5360403060913086
max_y,0.5805056095123291
max_z,0.56050044298172
min_ax,-0.87353515625
min_ay,0.697265625
min_az,-0.5146484375
min_w,0.6000214219093323
min_x,0.1560416370630264
min_y,-0.4062602519989013
min_z,0.1157625541090965
dominant_freq_ax,4.6875
dominant_freq_ay,0.78125
dominant_freq_az,4.6875
dominant_freq_w,4.6875
dominant_freq_x,4.6875
dominant_freq_y,4.6875
dominant_freq_z,4.6875
avg_distance_landmark_8,0.255378319293075
avg_distance_landmark_12,0.3091836235560392
avg_distance_landmark_16,0.26883036003020977
avg_distance_landmark_20,0.23795225061990558
