Timestamp,w,x,y,z,ax,ay,az
2023-08-01T15:51:26.825416,0.8870375156402588,-0.005577089264988899,-0.4606097638607025,0.031176624819636345,-0.73828125,-0.01171875,0.71484375
2023-08-01T15:51:26.831943,0.8864139318466187,-0.00581563264131546,-0.4618077874183655,0.031146463006734848,-0.73828125,-0.01171875,0.71484375
2023-08-01T15:51:26.832941,0.8864139318466187,-0.00581563264131546,-0.4618077874183655,0.031146463006734848,-0.72216796875,-0.01611328125,0.7177734375
2023-08-01T15:51:26.840169,0.9999986886978149,-0.00044209221960045397,-0.0015287447022274137,0.0,-0.72216796875,-0.01611328125,0.7177734375
2023-08-01T15:51:26.899046,0.9999986886978149,-0.00044209221960045397,-0.0015287447022274137,0.0,-0.6572265625,-0.03564453125,0.7900390625
2023-08-01T15:51:26.900370,0.9999980330467224,-0.0006710027228109539,-0.0018803703133016825,-8.008882286958396e-05,-0.6572265625,-0.03564453125,0.7900390625
2023-08-01T15:51:26.915195,0.9999980330467224,-0.0006710027228109539,-0.0018803703133016825,-8.008882286958396e-05,-0.6640625,-0.03662109375,0.79443359375
2023-08-01T15:51:26.916192,0.9999977946281433,-0.000833996688015759,-0.0019541531801223755,-0.00017508838209323585,-0.6640625,-0.03662109375,0.79443359375
2023-08-01T15:51:26.921702,0.9999977946281433,-0.000833996688015759,-0.0019541531801223755,-0.00017508838209323585,-0.66796875,-0.0390625,0.79150390625
2023-08-01T15:51:26.922700,0.9999977946281433,-0.0009495753911323845,-0.0018437212565913796,-0.00027541263261809945,-0.66796875,-0.0390625,0.79150390625
2023-08-01T15:51:26.929197,0.9999977946281433,-0.0009495753911323845,-0.0018437212565913796,-0.00027541263261809945,-0.681640625,-0.04150390625,0.78271484375
2023-08-01T15:51:26.930404,0.9999980926513672,-0.0010019992478191853,-0.0016596009954810143,-0.00035989948082715273,-0.681640625,-0.04150390625,0.78271484375
2023-08-01T15:51:26.945046,0.9999980926513672,-0.0010019992478191853,-0.0016596009954810143,-0.00035989948082715273,-0.68701171875,-0.0419921875,0.7744140625
2023-08-01T15:51:26.945046,0.9999983906745911,-0.0010019291657954454,-0.0014648879878222942,-0.00036009459290653467,-0.68701171875,-0.0419921875,0.7744140625
2023-08-01T15:51:26.952295,0.9999983906745911,-0.0010019291657954454,-0.0014648879878222942,-0.00036009459290653467,-0.69189453125,-0.03955078125,0.7685546875
2023-08-01T15:51:26.952295,0.9999985694885254,-0.001001789583824575,-0.0013371582608669996,-0.00042413725168444216,-0.69189453125,-0.03955078125,0.7685546875
2023-08-01T15:51:26.959986,0.9999985694885254,-0.001001789583824575,-0.0013371582608669996,-0.00042413725168444216,-0.69482421875,-0.03759765625,0.76318359375
2023-08-01T15:51:26.960923,0.9999985694885254,-0.001001789583824575,-0.0013371582608669996,-0.00042413725168444216,-0.69482421875,-0.03759765625,0.76318359375
2023-08-01T15:51:26.974147,0.9999985694885254,-0.001001789583824575,-0.0013371582608669996,-0.00042413725168444216,-0.69287109375,-0.03515625,0.7607421875
2023-08-01T15:51:26.975146,0.9999985098838806,-0.0010018119355663657,-0.0013898360775783658,-0.0004240844864398241,-0.69287109375,-0.03515625,0.7607421875
2023-08-01T15:51:26.982366,0.9999985098838806,-0.0010018119355663657,-0.0013898360775783658,-0.0004240844864398241,-0.6884765625,-0.0341796875,0.75634765625
2023-08-01T15:51:26.982366,0.9999982714653015,-0.0010018766624853015,-0.0015425230376422405,-0.0004239315167069435,-0.6884765625,-0.0341796875,0.75634765625
2023-08-01T15:51:26.989974,0.9999982714653015,-0.0010018766624853015,-0.0015425230376422405,-0.0004239315167069435,-0.6796875,-0.03125,0.76025390625
2023-08-01T15:51:26.989974,0.9999979734420776,-0.0010019547771662474,-0.0017267917282879353,-0.00042374691111035645,-0.6796875,-0.03125,0.76025390625
2023-08-01T15:51:27.004949,0.9999979734420776,-0.0010019547771662474,-0.0017267917282879353,-0.00042374691111035645,-0.677734375,-0.0341796875,0.76416015625
2023-08-01T15:51:27.005947,0.9999974966049194,-0.0010020461631938815,-0.0019426420331001282,-0.00042353058233857155,-0.677734375,-0.0341796875,0.76416015625
2023-08-01T15:51:27.012479,0.9999974966049194,-0.0010020461631938815,-0.0019426420331001282,-0.00042353058233857155,-0.6748046875,-0.04443359375,0.77001953125
2023-08-01T15:51:27.013476,0.9999973773956299,-0.0009023965103551745,-0.0021057454869151115,-0.00027052423683926463,-0.6748046875,-0.04443359375,0.77001953125
2023-08-01T15:51:27.020016,0.9999973773956299,-0.0009023965103551745,-0.0021057454869151115,-0.00027052423683926463,-0.66748046875,-0.033203125,0.77294921875
2023-08-01T15:51:27.020016,0.9999975562095642,-0.0007854541763663292,-0.0021056714467704296,-0.00015309161972254515,-0.66748046875,-0.033203125,0.77294921875
2023-08-01T15:51:27.034417,0.9999975562095642,-0.0007854541763663292,-0.0021056714467704296,-0.00015309161972254515,-0.67529296875,-0.02734375,0.771484375
2023-08-01T15:51:27.035414,0.999997615814209,-0.0006845248863101006,-0.002105582505464554,-1.971315941773355e-05,-0.67529296875,-0.02734375,0.771484375
2023-08-01T15:51:27.041921,0.999997615814209,-0.0006845248863101006,-0.002105582505464554,-1.971315941773355e-05,-0.67919921875,-0.03125,0.7705078125
2023-08-01T15:51:27.042919,0.9999978542327881,-0.0005608117207884789,-0.0020073766354471445,0.00011480398825369775,-0.67919921875,-0.03125,0.7705078125
2023-08-01T15:51:27.050168,0.9999978542327881,-0.0005608117207884789,-0.0020073766354471445,0.00011480398825369775,-0.68603515625,-0.02978515625,0.77392578125
