,Frame ID,Hand 1 Landmarks,Hand 2 Landmarks
0,0,"[x: 0.6269304156303406
y: 0.9656056761741638
z: -6.321336059045279e-07
, x: 0.576170802116394
y: 0.9347771406173706
z: 0.020773552358150482
, x: 0.5589108467102051
y: 0.8796932697296143
z: 0.026164814829826355
, x: 0.5459393262863159
y: 0.8421792984008789
z: 0.022918935865163803
, x: 0.5351172685623169
y: 0.8116356134414673
z: 0.018409978598356247
, x: 0.5922274589538574
y: 0.7865226864814758
z: 0.028981370851397514
, x: 0.5345020890235901
y: 0.7582042217254639
z: 0.019329506903886795
, x: 0.5096070766448975
y: 0.796608030796051
z: 0.009450627490878105
, x: 0.5078712105751038
y: 0.840761661529541
z: 0.005488553084433079
, x: 0.5939435362815857
y: 0.7827751636505127
z: 0.011718244291841984
, x: 0.5220773816108704
y: 0.756195604801178
z: 0.0009744108538143337
, x: 0.5026602745056152
y: 0.8087515234947205
z: -0.006857453845441341
, x: 0.5084396600723267
y: 0.8598830103874207
z: -0.008376876823604107
, x: 0.5900940895080566
y: 0.788478672504425
z: -0.005865529179573059
, x: 0.5157161355018616
y: 0.7662359476089478
z: -0.018051160499453545
, x: 0.5022892951965332
y: 0.8216539025306702
z: -0.020821793004870415
, x: 0.5125534534454346
y: 0.8718212246894836
z: -0.018547989428043365
, x: 0.5787429809570312
y: 0.8003863096237183
z: -0.02197452075779438
, x: 0.5216025710105896
y: 0.7767876386642456
z: -0.02960953861474991
, x: 0.5070701837539673
y: 0.8056948184967041
z: -0.026874810457229614
, x: 0.5104411244392395
y: 0.840244472026825
z: -0.021903883665800095
]",
1,1,"[x: 0.6253646612167358
y: 0.9687632322311401
z: -6.24478900590475e-07
, x: 0.5723164081573486
y: 0.9346737861633301
z: 0.02004934474825859
, x: 0.5517159104347229
y: 0.8811745643615723
z: 0.02378194034099579
, x: 0.5380333065986633
y: 0.8479095697402954
z: 0.019008569419384003
, x: 0.5255997776985168
y: 0.8212119936943054
z: 0.013383994810283184
, x: 0.5911629796028137
y: 0.7860912680625916
z: 0.026646168902516365
, x: 0.5350707769393921
y: 0.7578198313713074
z: 0.015883365646004677
, x: 0.5094727873802185
y: 0.8013876676559448
z: 0.005619795061647892
, x: 0.5074074864387512
y: 0.845769464969635
z: 0.0013265978777781129
, x: 0.593566358089447
y: 0.7832061648368835
z: 0.009900664910674095
, x: 0.5231072306632996
y: 0.7545007467269897
z: -0.0002458046656101942
, x: 0.5024086236953735
y: 0.8100923299789429
z: -0.006416275165975094
, x: 0.5085516571998596
y: 0.8580484390258789
z: -0.007381596602499485
, x: 0.5907289981842041
y: 0.7896134853363037
z: -0.0071905977092683315
, x: 0.5187239646911621
y: 0.7635802030563354
z: -0.01761574111878872
, x: 0.5024939179420471
y: 0.8190968036651611
z: -0.017951050773262978
, x: 0.5119958519935608
y: 0.865921139717102
z: -0.014557693153619766
, x: 0.5801438093185425
y: 0.8028157353401184
z: -0.02290712669491768
, x: 0.5258427262306213
y: 0.7774128913879395
z: -0.02801692672073841
, x: 0.5116294622421265
y: 0.806603193283081
z: -0.023302966728806496
, x: 0.5162680745124817
y: 0.8391188383102417
z: -0.017216045409440994
]",
2,2,"[x: 0.6258204579353333
y: 0.9692354202270508
z: -6.027368044669856e-07
, x: 0.5711673498153687
y: 0.9345588088035583
z: 0.018079685047268867
, x: 0.5515034794807434
y: 0.8831558227539062
z: 0.020559238269925117
, x: 0.5381056666374207
y: 0.8506892919540405
z: 0.01478970143944025
, x: 0.526195764541626
y: 0.8246841430664062
z: 0.00819787010550499
, x: 0.5921597480773926
y: 0.7866286039352417
z: 0.024888623505830765
, x: 0.5351380705833435
y: 0.7593309283256531
z: 0.012729810550808907
, x: 0.5083442330360413
y: 0.8011842370033264
z: 0.0014708938542753458
, x: 0.5048577785491943
y: 0.8442025184631348
z: -0.003366692690178752
, x: 0.5948956608772278
y: 0.7829669117927551
z: 0.008636042475700378
, x: 0.5244517922401428
y: 0.7522878646850586
z: -0.0029361529741436243
, x: 0.502727210521698
y: 0.8071833252906799
z: -0.009855375625193119
, x: 0.5071508884429932
y: 0.8559354543685913
z: -0.011077746748924255
, x: 0.5920672416687012
y: 0.7893210053443909
z: -0.008160080760717392
, x: 0.5191999077796936
y: 0.7631615400314331
z: -0.02016489952802658
, x: 0.5029486417770386
y: 0.8186551332473755
z: -0.02105206996202469
, x: 0.5117313265800476
y: 0.8660774827003479
z: -0.017657451331615448
, x: 0.580742597579956
y: 0.8032100796699524
z: -0.023732254281640053
, x: 0.5256924629211426
y: 0.7788518071174622
z: -0.02968641370534897
, x: 0.5110176801681519
y: 0.8076178431510925
z: -0.025384046137332916
, x: 0.514360249042511
y: 0.8397742509841919
z: -0.019508464261889458
]",
3,3,"[x: 0.6262710690498352
y: 0.9693899154663086
z: -6.028164989402285e-07
, x: 0.5715524554252625
y: 0.9329371452331543
z: 0.020298153162002563
, x: 0.5529327988624573
y: 0.8811925649642944
z: 0.0237655658274889
, x: 0.5405834913253784
y: 0.8499479293823242
z: 0.018651597201824188
, x: 0.5286409258842468
y: 0.8252553343772888
z: 0.01252984069287777
, x: 0.5909920930862427
y: 0.7865278720855713
z: 0.027160730212926865
, x: 0.5355835556983948
y: 0.7583417892456055
z: 0.016498107463121414
, x: 0.5083889961242676
y: 0.8000189065933228
z: 0.006123404484242201
, x: 0.5040978789329529
y: 0.8418415784835815
z: 0.0015953666297718883
, x: 0.5938568115234375
y: 0.7828190922737122
z: 0.010274644009768963
, x: 0.5242287516593933
y: 0.7510405778884888
z: 0.0003647684643510729
, x: 0.5021876096725464
y: 0.8056581020355225
z: -0.005747399292886257
, x: 0.5062276124954224
y: 0.8539161086082458
z: -0.006840723101049662
, x: 0.5911344289779663
y: 0.7896097898483276
z: -0.0069470214657485485
, x: 0.5191445350646973
y: 0.7636386752128601
z: -0.016836849972605705
, x: 0.5037863254547119
y: 0.8192554116249084
z: -0.01710672304034233
, x: 0.5127555131912231
y: 0.8663191795349121
z: -0.013980435207486153
, x: 0.5802436470985413
y: 0.8033578991889954
z: -0.022844938561320305
, x: 0.5253035426139832
y: 0.7808464169502258
z: -0.027353474870324135
, x: 0.5115992426872253
y: 0.8097784519195557
z: -0.022807525470852852
, x: 0.5152495503425598
y: 0.8413001894950867
z: -0.017190387472510338
]",
4,4,"[x: 0.6248835325241089
y: 0.9714783430099487
z: -6.273264716583071e-07
, x: 0.5705289840698242
y: 0.9319153428077698
z: 0.020823977887630463
, x: 0.5523828268051147
y: 0.8789195418357849
z: 0.024690909311175346
, x: 0.5403040051460266
y: 0.8452341556549072
z: 0.019549425691366196
, x: 0.5295787453651428
y: 0.818748414516449
z: 0.01329124066978693
, x: 0.5924777984619141
y: 0.7863620519638062
z: 0.02825506217777729
, x: 0.5351327061653137
y: 0.7586780786514282
z: 0.016746558248996735
, x: 0.509213924407959
y: 0.8014739751815796
z: 0.005953132640570402
, x: 0.5070806741714478
y: 0.8453580141067505
z: 0.0014273601118475199
, x: 0.5949127078056335
y: 0.78235924243927
z: 0.010877951979637146
, x: 0.5245616436004639
y: 0.7533013224601746
z: 4.9367961764801294e-05
, x: 0.5039016604423523
y: 0.8094668388366699
z: -0.006789664272218943
, x: 0.5087948441505432
y: 0.8592180013656616
z: -0.00815839134156704
, x: 0.5919383764266968
y: 0.7890000343322754
z: -0.006908365525305271
, x: 0.519219160079956
y: 0.7664057612419128
z: -0.018581481650471687
, x: 0.5049574375152588
y: 0.8241884112358093
z: -0.01947547309100628
, x: 0.5145913362503052
y: 0.8728262186050415
z: -0.016205472871661186
, x: 0.5803821682929993
y: 0.8032567501068115
z: -0.023234369233250618
, x: 0.5243074297904968
y: 0.7809777855873108
z: -0.02918270416557789
, x: 0.5104989409446716
y: 0.8109362721443176
z: -0.024750838056206703
, x: 0.5142025947570801
y: 0.8434867858886719
z: -0.01883850432932377
]",
5,5,"[x: 0.625435471534729
y: 0.9726018905639648
z: -6.623607760047889e-07
, x: 0.5692979097366333
y: 0.9330667853355408
z: 0.02292746677994728
, x: 0.5516980886459351
y: 0.8794309496879578
z: 0.02850302867591381
, x: 0.5396032333374023
y: 0.8465757369995117
z: 0.02435242012143135
, x: 0.5286555290222168
y: 0.8193660974502563
z: 0.018816057592630386
, x: 0.5914247035980225
y: 0.7864993214607239
z: 0.03274478763341904
, x: 0.5326208472251892
y: 0.7612086534500122
z: 0.02227400802075863
, x: 0.5054942965507507
y: 0.80345219373703
z: 0.01129127386957407
, x: 0.5021388530731201
y: 0.8473435640335083
z: 0.006563140545040369
, x: 0.5943071842193604
y: 0.7824466228485107
z: 0.014208659529685974
, x: 0.5199909806251526
y: 0.7598717212677002
z: 0.0036692460998892784
, x: 0.5006908774375916
y: 0.8184384703636169
z: -0.004326882306486368
, x: 0.5082254409790039
y: 0.8672342896461487
z: -0.006276638247072697
, x: 0.5920732617378235
y: 0.7881582379341125
z: -0.004670598078519106
, x: 0.5149756669998169
y: 0.7695682048797607
z: -0.0158807635307312
, x: 0.5013731718063354
y: 0.8290601372718811
z: -0.017591115087270737
, x: 0.5134783387184143
y: 0.8765673637390137
z: -0.01467589009553194
, x: 0.581325888633728
y: 0.8009466528892517
z: -0.02199113927781582
, x: 0.5217417478561401
y: 0.7787467241287231
z: -0.026812780648469925
, x: 0.5084582567214966
y: 0.8087314367294312
z: -0.021786892786622047
, x: 0.5142380595207214
y: 0.84090256690979
z: -0.015407303348183632
]",
6,6,"[x: 0.6248921155929565
y: 0.9693901538848877
z: -5.993067020426679e-07
, x: 0.5716859102249146
y: 0.9335881471633911
z: 0.019714966416358948
, x: 0.5522738099098206
y: 0.8798856139183044
z: 0.023772038519382477
, x: 0.5407160520553589
y: 0.8474028706550598
z: 0.019296318292617798
, x: 0.5315334796905518
y: 0.8211681842803955
z: 0.014071233570575714
, x: 0.5905784964561462
y: 0.785676896572113
z: 0.028552476316690445
, x: 0.5348131060600281
y: 0.7592636942863464
z: 0.017690807580947876
, x: 0.5088753700256348
y: 0.8002523183822632
z: 0.006780651398003101
, x: 0.5049291849136353
y: 0.8447510004043579
z: 0.0022861603647470474
, x: 0.5929005146026611
y: 0.7819995880126953
z: 0.012364852242171764
, x: 0.5240882039070129
y: 0.7550629377365112
z: 0.002777255140244961
, x: 0.5035923719406128
y: 0.8097985982894897
z: -0.0039931475184857845
, x: 0.5082115530967712
y: 0.8589107394218445
z: -0.0053422278724610806
, x: 0.5895514488220215
y: 0.7878917455673218
z: -0.0043774317018687725
, x: 0.5186759829521179
y: 0.7637631297111511
z: -0.014723122119903564
, x: 0.5019327402114868
y: 0.8187796473503113
z: -0.01622609794139862
, x: 0.509643018245697
y: 0.8668844103813171
z: -0.013435624539852142
, x: 0.5774730443954468
y: 0.8003689646720886
z: -0.019770266488194466
, x: 0.5239030122756958
y: 0.7761305570602417
z: -0.02401021681725979
, x: 0.5096756219863892
y: 0.8052300214767456
z: -0.019461555406451225
, x: 0.5127595067024231
y: 0.8384965658187866
z: -0.013579994440078735
]",
7,7,"[x: 0.6252083778381348
y: 0.9687539339065552
z: -6.08159155035537e-07
, x: 0.5714939832687378
y: 0.9321621060371399
z: 0.019545163959264755
, x: 0.5517691373825073
y: 0.8811397552490234
z: 0.022880785167217255
, x: 0.5393140912055969
y: 0.8505141139030457
z: 0.017480380833148956
, x: 0.5279847979545593
y: 0.8267723917961121
z: 0.011091731488704681
, x: 0.5906304717063904
y: 0.7856244444847107
z: 0.0270888339728117
, x: 0.5337383151054382
y: 0.7603130340576172
z: 0.01563374139368534
, x: 0.507377564907074
y: 0.8012322783470154
z: 0.004389503505080938
, x: 0.5047698616981506
y: 0.8436833024024963
z: -0.000528535048943013
, x: 0.5932774543762207
y: 0.7824730277061462
z: 0.009891513735055923
, x: 0.5232911109924316
y: 0.7557064890861511
z: -0.0008966335444711149
, x: 0.5032163858413696
y: 0.8109291791915894
z: -0.00808680709451437
, x: 0.5097312927246094
y: 0.8587026000022888
z: -0.009672597981989384
, x: 0.5904620289802551
y: 0.7893794775009155
z: -0.0077880434691905975
, x: 0.5187172293663025
y: 0.764814019203186
z: -0.01870240457355976
, x: 0.5023545622825623
y: 0.8199775218963623
z: -0.01964009366929531
, x: 0.5118838548660278
y: 0.8664795756340027
z: -0.016509998589754105
, x: 0.5796428918838501
y: 0.8033561110496521
z: -0.024203941226005554
, x: 0.5249197483062744
y: 0.7754327058792114
z: -0.029118547216057777
, x: 0.5083262324333191
y: 0.8005987405776978
z: -0.024313660338521004
, x: 0.510314404964447
y: 0.8304483890533447
z: -0.01823875494301319
]",
8,8,"[x: 0.6253855228424072
y: 0.9692344069480896
z: -5.875231749996601e-07
, x: 0.5716660022735596
y: 0.9332829713821411
z: 0.018927816301584244
, x: 0.5521601438522339
y: 0.8799036741256714
z: 0.022764189168810844
, x: 0.5389551520347595
y: 0.846977710723877
z: 0.01825670897960663
, x: 0.5259370803833008
y: 0.8209965825080872
z: 0.01304206345230341
, x: 0.5899679660797119
y: 0.7864567041397095
z: 0.02788681909441948
, x: 0.5342466235160828
y: 0.757462739944458
z: 0.016356756910681725
, x: 0.507077693939209
y: 0.7974662780761719
z: 0.005479948595166206
, x: 0.5035824775695801
y: 0.8396661877632141
z: 0.0009607673855498433
, x: 0.5931285619735718
y: 0.7829291224479675
z: 0.011515270918607712
, x: 0.52482670545578
y: 0.7520223259925842
z: 0.0007304995669983327
, x: 0.5027767419815063
y: 0.805900514125824
z: -0.0058123283088207245
, x: 0.5072566270828247
y: 0.8531913757324219
z: -0.006731177214533091
, x: 0.5905665755271912
y: 0.7895092964172363
z: -0.005559044424444437
, x: 0.5201103091239929
y: 0.7627007365226746
z: -0.016845090314745903
, x: 0.5023243427276611
y: 0.816927969455719
z: -0.01738637313246727
, x: 0.5099198818206787
y: 0.8631494641304016
z: -0.013770213350653648
, x: 0.5795880556106567
y: 0.8033322691917419
z: -0.02142450585961342
, x: 0.5264796614646912
y: 0.7779091596603394
z: -0.026739275082945824
, x: 0.5119873881340027
y: 0.8068411946296692
z: -0.02208257094025612
, x: 0.5154979825019836
y: 0.8387545347213745
z: -0.015929099172353745
]",
9,9,"[x: 0.62448650598526
y: 0.9699232578277588
z: -6.135573471510725e-07
, x: 0.5721776485443115
y: 0.9335059523582458
z: 0.018818719312548637
, x: 0.5532300472259521
y: 0.8777069449424744
z: 0.022745391353964806
, x: 0.5409073829650879
y: 0.8425484299659729
z: 0.01847013831138611
, x: 0.5297676920890808
y: 0.814723014831543
z: 0.013416221365332603
, x: 0.5906766653060913
y: 0.7857136726379395
z: 0.026438849046826363
, x: 0.5353057384490967
y: 0.7562435269355774
z: 0.014698163606226444
, x: 0.5072333812713623
y: 0.7964948415756226
z: 0.003923668060451746
, x: 0.5023730993270874
y: 0.8384501934051514
z: -0.0005678979214280844
, x: 0.5929964184761047
y: 0.7825020551681519
z: 0.010447584092617035
, x: 0.5239472389221191
y: 0.7522571086883545
z: -0.0007007449166849256
, x: 0.5023753643035889
y: 0.8070159554481506
z: -0.007183055393397808
, x: 0.5065091252326965
y: 0.8550503253936768
z: -0.008062265813350677
, x: 0.590226948261261
y: 0.7890896797180176
z: -0.006127013359218836
, x: 0.5188679695129395
y: 0.7643272280693054
z: -0.017879178747534752
, x: 0.5030453205108643
y: 0.8197879195213318
z: -0.01887853443622589
, x: 0.5113497376441956
y: 0.8670908808708191
z: -0.015596493147313595
, x: 0.5795451998710632
y: 0.8027482628822327
z: -0.021415848284959793
, x: 0.5255144834518433
y: 0.7812345027923584
z: -0.027565227821469307
, x: 0.511868417263031
y: 0.8112151622772217
z: -0.023764699697494507
, x: 0.5154567360877991
y: 0.8439386487007141
z: -0.018190501257777214
]",
