,Frame ID,Hand 1 Landmarks,Hand 2 Landmarks
0,0,"[x: 0.6345311403274536
y: 0.8499906063079834
z: 4.662100394625668e-08
, x: 0.5953349471092224
y: 0.8130220770835876
z: -0.00444957846775651
, x: 0.574083149433136
y: 0.7652469277381897
z: -0.004846966825425625
, x: 0.5703727006912231
y: 0.7173939943313599
z: -0.009095446206629276
, x: 0.5725783109664917
y: 0.6783578991889954
z: -0.012720675207674503
, x: 0.5921987295150757
y: 0.7219927310943604
z: 0.017181657254695892
, x: 0.5783478617668152
y: 0.6782441139221191
z: 0.009504646994173527
, x: 0.5670850872993469
y: 0.6515995264053345
z: 0.0007421299815177917
, x: 0.558927595615387
y: 0.6271620988845825
z: -0.006009399425238371
, x: 0.6096815466880798
y: 0.7133392095565796
z: 0.011248098686337471
, x: 0.5972910523414612
y: 0.6581704020500183
z: 0.0011482102563604712
, x: 0.5827787518501282
y: 0.6260022521018982
z: -0.010521793738007545
, x: 0.572263240814209
y: 0.6021009087562561
z: -0.018604615703225136
, x: 0.6291303634643555
y: 0.7137367129325867
z: 0.0023337628226727247
, x: 0.6221888661384583
y: 0.6586027145385742
z: -0.013831184245646
, x: 0.6083185076713562
y: 0.6684712171554565
z: -0.02345162443816662
, x: 0.5999559760093689
y: 0.6907452344894409
z: -0.02622026763856411
, x: 0.652692437171936
y: 0.7195026278495789
z: -0.007274095434695482
, x: 0.6485099196434021
y: 0.6724598407745361
z: -0.018901854753494263
, x: 0.6328158378601074
y: 0.6725874543190002
z: -0.02350316382944584
, x: 0.619665801525116
y: 0.6893849968910217
z: -0.02499818243086338
]",
1,1,"[x: 0.6332128643989563
y: 0.8472572565078735
z: 9.63871826797913e-08
, x: 0.594697892665863
y: 0.8089885711669922
z: -0.0044855657033622265
, x: 0.5760300755500793
y: 0.7613015174865723
z: -0.0052010295912623405
, x: 0.572024941444397
y: 0.7165617942810059
z: -0.009899432770907879
, x: 0.5717098712921143
y: 0.6789453625679016
z: -0.014147399924695492
, x: 0.5939271450042725
y: 0.7193564176559448
z: 0.016627397388219833
, x: 0.5814110636711121
y: 0.6758445501327515
z: 0.007651529274880886
, x: 0.5702971816062927
y: 0.6500105857849121
z: -0.0016794794937595725
, x: 0.5617920160293579
y: 0.626433253288269
z: -0.0081890057772398
, x: 0.611070990562439
y: 0.7123229503631592
z: 0.010522006079554558
, x: 0.5990578532218933
y: 0.6575705409049988
z: -0.0008122394792735577
, x: 0.5830946564674377
y: 0.6266103982925415
z: -0.012443820014595985
, x: 0.5713825821876526
y: 0.6029437780380249
z: -0.019569484516978264
, x: 0.6301609873771667
y: 0.7135647535324097
z: 0.0013505798997357488
, x: 0.6225047707557678
y: 0.6614511013031006
z: -0.015939170494675636
, x: 0.6073187589645386
y: 0.672999918460846
z: -0.025408199056982994
, x: 0.5982991456985474
y: 0.695068359375
z: -0.027058029547333717
, x: 0.6524884700775146
y: 0.7194855213165283
z: -0.00846105720847845
, x: 0.6468771696090698
y: 0.6741448640823364
z: -0.020097089931368828
, x: 0.6317582726478577
y: 0.6755235195159912
z: -0.02396390400826931
, x: 0.619637668132782
y: 0.6925432682037354
z: -0.024248210713267326
]",
2,2,"[x: 0.6352708339691162
y: 0.8468380570411682
z: 9.173616888347169e-08
, x: 0.5948901772499084
y: 0.8096525073051453
z: -0.005539773963391781
, x: 0.5754340887069702
y: 0.7630047798156738
z: -0.006113552022725344
, x: 0.5718151330947876
y: 0.7172803282737732
z: -0.010663656517863274
, x: 0.5735029578208923
y: 0.6785246729850769
z: -0.014636704698204994
, x: 0.5937340259552002
y: 0.7229479551315308
z: 0.019474932923913002
, x: 0.582007884979248
y: 0.6782310605049133
z: 0.011621011421084404
, x: 0.5717504024505615
y: 0.6506305932998657
z: 0.002293802099302411
, x: 0.564216673374176
y: 0.6250291466712952
z: -0.004821139387786388
, x: 0.6109461784362793
y: 0.715179979801178
z: 0.014065047726035118
, x: 0.5979807376861572
y: 0.6629884243011475
z: 0.00318768504075706
, x: 0.5819818377494812
y: 0.63274747133255
z: -0.009541110135614872
, x: 0.5698744654655457
y: 0.609235942363739
z: -0.01793440617620945
, x: 0.6303295493125916
y: 0.7154210805892944
z: 0.00530296890065074
, x: 0.6222519874572754
y: 0.6630474328994751
z: -0.01211631577461958
, x: 0.6085156798362732
y: 0.6739059686660767
z: -0.022890396416187286
, x: 0.600108802318573
y: 0.6963167786598206
z: -0.025751253589987755
, x: 0.6532943248748779
y: 0.7194329500198364
z: -0.004194385837763548
, x: 0.6467728018760681
y: 0.6751047372817993
z: -0.016913771629333496
, x: 0.6315957307815552
y: 0.6765170097351074
z: -0.022268055006861687
, x: 0.6196479797363281
y: 0.6945350766181946
z: -0.023708807304501534
]",
3,3,"[x: 0.6318341493606567
y: 0.8447314500808716
z: 1.0612098577666984e-07
, x: 0.593926191329956
y: 0.807940661907196
z: -0.004586515948176384
, x: 0.5759915113449097
y: 0.7613955736160278
z: -0.004968376364558935
, x: 0.5733067989349365
y: 0.7167646884918213
z: -0.00939685944467783
, x: 0.5757447481155396
y: 0.6794423460960388
z: -0.013502703979611397
, x: 0.5948022603988647
y: 0.7227639555931091
z: 0.017880739644169807
, x: 0.586036741733551
y: 0.6792432069778442
z: 0.010123061947524548
, x: 0.5775270462036133
y: 0.6506401896476746
z: 0.001307787257246673
, x: 0.5715392827987671
y: 0.6250026226043701
z: -0.005111086647957563
, x: 0.6111302375793457
y: 0.7154060006141663
z: 0.012237857095897198
, x: 0.5997791886329651
y: 0.6623297333717346
z: 0.001106365118175745
, x: 0.5816948413848877
y: 0.6329143047332764
z: -0.010461430996656418
, x: 0.5677011609077454
y: 0.6128182411193848
z: -0.017237726598978043
, x: 0.6299922466278076
y: 0.7157142758369446
z: 0.0036310399882495403
, x: 0.6234267354011536
y: 0.6624741554260254
z: -0.01291150227189064
, x: 0.6102460026741028
y: 0.6752780675888062
z: -0.021053766831755638
, x: 0.602367639541626
y: 0.6996784806251526
z: -0.02166418731212616
, x: 0.6524062752723694
y: 0.7201215028762817
z: -0.005718169268220663
, x: 0.6472716331481934
y: 0.6743324995040894
z: -0.016985349357128143
, x: 0.6323655247688293
y: 0.6761848330497742
z: -0.02001376450061798
, x: 0.6200825572013855
y: 0.6941977143287659
z: -0.019449327141046524
]",
4,4,"[x: 0.6348713040351868
y: 0.8449657559394836
z: 9.409293255657758e-08
, x: 0.5959928035736084
y: 0.8082956075668335
z: -0.005114482715725899
, x: 0.5769726634025574
y: 0.7613447308540344
z: -0.005539300851523876
, x: 0.5741674900054932
y: 0.7165847420692444
z: -0.009866230189800262
, x: 0.5763673186302185
y: 0.6794432401657104
z: -0.013787638396024704
, x: 0.5945427417755127
y: 0.7231491208076477
z: 0.017187047749757767
, x: 0.584965169429779
y: 0.6786473989486694
z: 0.00874895416200161
, x: 0.576719343662262
y: 0.6485904455184937
z: -0.000747884507291019
, x: 0.5705255270004272
y: 0.6217323541641235
z: -0.007735812105238438
, x: 0.6109718084335327
y: 0.7161139249801636
z: 0.011794003657996655
, x: 0.59857177734375
y: 0.6652305722236633
z: -2.440561956973397e-06
, x: 0.5813508629798889
y: 0.6361123919487
z: -0.012170608155429363
, x: 0.5679128766059875
y: 0.6153594255447388
z: -0.019511301070451736
, x: 0.6301037669181824
y: 0.7159738540649414
z: 0.0034002044703811407
, x: 0.6231398582458496
y: 0.663781464099884
z: -0.013920703902840614
, x: 0.6096951365470886
y: 0.6745405197143555
z: -0.022550594061613083
, x: 0.6010655760765076
y: 0.6972883939743042
z: -0.02356012538075447
, x: 0.6528413891792297
y: 0.7201431393623352
z: -0.005760356318205595
, x: 0.6470806002616882
y: 0.675409197807312
z: -0.01793096773326397
, x: 0.6318869590759277
y: 0.6776583194732666
z: -0.021409669890999794
, x: 0.6195295453071594
y: 0.6966547966003418
z: -0.02110286056995392
]",
5,5,"[x: 0.6346220374107361
y: 0.8445358276367188
z: 1.0434472130782524e-07
, x: 0.5953238606452942
y: 0.8089044690132141
z: -0.0055528790690004826
, x: 0.5763472318649292
y: 0.7625955939292908
z: -0.006600754801183939
, x: 0.5738190412521362
y: 0.7181169986724854
z: -0.011573830619454384
, x: 0.5761793255805969
y: 0.6802615523338318
z: -0.01625748723745346
, x: 0.5936328172683716
y: 0.7239909768104553
z: 0.016940318048000336
, x: 0.5828412771224976
y: 0.6810777187347412
z: 0.007762521971017122
, x: 0.5737344026565552
y: 0.6524800658226013
z: -0.002484534401446581
, x: 0.5670133233070374
y: 0.626829206943512
z: -0.0099671995267272
, x: 0.6103881597518921
y: 0.716285765171051
z: 0.011287905275821686
, x: 0.5974628925323486
y: 0.6650089025497437
z: -0.0012489603832364082
, x: 0.5797045230865479
y: 0.6359410285949707
z: -0.014731159433722496
, x: 0.5656737685203552
y: 0.6153908967971802
z: -0.022967033088207245
, x: 0.6297732591629028
y: 0.7158509492874146
z: 0.002553873462602496
, x: 0.6227053999900818
y: 0.6646465063095093
z: -0.015440885908901691
, x: 0.6090975403785706
y: 0.6751722693443298
z: -0.025721127167344093
, x: 0.6003526449203491
y: 0.6975687742233276
z: -0.027844492346048355
, x: 0.6527568101882935
y: 0.7196096777915955
z: -0.0069295247085392475
, x: 0.6465133428573608
y: 0.675457775592804
z: -0.01964429020881653
, x: 0.6315467953681946
y: 0.6767991781234741
z: -0.024234775453805923
, x: 0.6190918684005737
y: 0.694573163986206
z: -0.024810362607240677
]",
6,6,"[x: 0.6345666646957397
y: 0.8447460532188416
z: 1.0053351928718257e-07
, x: 0.5953420996665955
y: 0.8089738488197327
z: -0.004985389299690723
, x: 0.5763552188873291
y: 0.7627511024475098
z: -0.005758472718298435
, x: 0.5743123292922974
y: 0.7182588577270508
z: -0.010531221516430378
, x: 0.5779380798339844
y: 0.6805815696716309
z: -0.01501434575766325
, x: 0.5934865474700928
y: 0.724633514881134
z: 0.017523663118481636
, x: 0.5829706192016602
y: 0.6818560361862183
z: 0.008929510600864887
, x: 0.5740031003952026
y: 0.6537836194038391
z: -0.00086861482122913
, x: 0.5672909021377563
y: 0.628509521484375
z: -0.008033232763409615
, x: 0.6103049516677856
y: 0.7166377902030945
z: 0.011807993985712528
, x: 0.5976130962371826
y: 0.6654794216156006
z: 4.492252173804445e-06
, x: 0.5796843767166138
y: 0.6364744901657104
z: -0.012890287674963474
, x: 0.5654398202896118
y: 0.6161119937896729
z: -0.020744595676660538
, x: 0.6297304630279541
y: 0.7160825133323669
z: 0.0030648070387542248
, x: 0.6225539445877075
y: 0.6651126742362976
z: -0.014190655201673508
, x: 0.6091408133506775
y: 0.675643801689148
z: -0.02401912957429886
, x: 0.6006039977073669
y: 0.6980264186859131
z: -0.025914909318089485
, x: 0.652656078338623
y: 0.7195273041725159
z: -0.006395867560058832
, x: 0.6466283202171326
y: 0.6751857399940491
z: -0.01841169409453869
, x: 0.6314392685890198
y: 0.6760166883468628
z: -0.022598769515752792
, x: 0.6186475157737732
y: 0.6934159398078918
z: -0.0229618139564991
]",
7,7,"[x: 0.6359564065933228
y: 0.8439564108848572
z: 9.773470566187825e-08
, x: 0.5965748429298401
y: 0.8065845966339111
z: -0.004614040721207857
, x: 0.5776243805885315
y: 0.7609487771987915
z: -0.005406918004155159
, x: 0.5733208060264587
y: 0.7173444032669067
z: -0.010593940503895283
, x: 0.5738801956176758
y: 0.6796068549156189
z: -0.015558721497654915
, x: 0.594210147857666
y: 0.7246481776237488
z: 0.01914370432496071
, x: 0.5818527936935425
y: 0.6834585666656494
z: 0.009646224789321423
, x: 0.5723677277565002
y: 0.6560870409011841
z: -0.001068766345269978
, x: 0.5657693147659302
y: 0.6305041909217834
z: -0.00888745579868555
, x: 0.610826313495636
y: 0.7165501713752747
z: 0.012828887440264225
, x: 0.5967090129852295
y: 0.6663597226142883
z: -0.00017282321641687304
, x: 0.5794607400894165
y: 0.6377140879631042
z: -0.014322170056402683
, x: 0.5660010576248169
y: 0.6157800555229187
z: -0.023095285519957542
, x: 0.6301575899124146
y: 0.7159880995750427
z: 0.0033525298349559307
, x: 0.6219661235809326
y: 0.6635106801986694
z: -0.015776626765727997
, x: 0.6088987588882446
y: 0.67793869972229
z: -0.026272352784872055
, x: 0.6008434891700745
y: 0.7033066749572754
z: -0.028166869655251503
, x: 0.6532711982727051
y: 0.7195879220962524
z: -0.006775179877877235
, x: 0.6461122632026672
y: 0.6747957468032837
z: -0.02050856500864029
, x: 0.6310409903526306
y: 0.677641749382019
z: -0.025446953251957893
, x: 0.6185585856437683
y: 0.696729838848114
z: -0.026095770299434662
]",
8,8,"[x: 0.638979434967041
y: 0.8455535173416138
z: 8.298275844254022e-08
, x: 0.6017969846725464
y: 0.8076925873756409
z: -0.004647316411137581
, x: 0.5817127823829651
y: 0.7584750652313232
z: -0.00593183608725667
, x: 0.5776176452636719
y: 0.7130085825920105
z: -0.010954434052109718
, x: 0.5798874497413635
y: 0.6752973794937134
z: -0.015541112050414085
, x: 0.6016051769256592
y: 0.7189289927482605
z: 0.013004978187382221
, x: 0.5899874567985535
y: 0.6732128262519836
z: 0.0037558872718364
, x: 0.5801737308502197
y: 0.6425062417984009
z: -0.006168088410049677
, x: 0.572906494140625
y: 0.6153416633605957
z: -0.013806999661028385
, x: 0.6197800636291504
y: 0.7133057117462158
z: 0.0070878597907722
, x: 0.6066139936447144
y: 0.6647460460662842
z: -0.005288482178002596
, x: 0.5901105403900146
y: 0.6355352401733398
z: -0.018259767442941666
, x: 0.5762926340103149
y: 0.6121070981025696
z: -0.02681184746325016
, x: 0.6405181288719177
y: 0.7146082520484924
z: -0.0012259873328730464
, x: 0.6331217885017395
y: 0.6649260520935059
z: -0.01896609179675579
, x: 0.6201804876327515
y: 0.6779168844223022
z: -0.027069581672549248
, x: 0.6106084585189819
y: 0.7014870643615723
z: -0.028196709230542183
, x: 0.6646868586540222
y: 0.7211675047874451
z: -0.01017200667411089
, x: 0.6578539609909058
y: 0.6783807873725891
z: -0.023488787934184074
, x: 0.6420822143554688
y: 0.6809552311897278
z: -0.027280377224087715
, x: 0.6275485754013062
y: 0.6993173956871033
z: -0.027331877499818802
]",
9,9,"[x: 0.639846682548523
y: 0.8462356925010681
z: 1.0085673096682513e-07
, x: 0.601553201675415
y: 0.8070207238197327
z: -0.006201557815074921
, x: 0.581710934638977
y: 0.7572551965713501
z: -0.007660974282771349
, x: 0.5780012607574463
y: 0.7120582461357117
z: -0.01289910264313221
, x: 0.5801752805709839
y: 0.6746326088905334
z: -0.01762336678802967
, x: 0.6013133525848389
y: 0.7188172936439514
z: 0.013943634927272797
, x: 0.5895410776138306
y: 0.6723335981369019
z: 0.0037717658560723066
, x: 0.5802521109580994
y: 0.6409620046615601
z: -0.006567125674337149
, x: 0.5733129382133484
y: 0.6130585670471191
z: -0.01412262860685587
, x: 0.6192992925643921
y: 0.7131872773170471
z: 0.008642452768981457
, x: 0.6067515015602112
y: 0.6634419560432434
z: -0.0051118116825819016
, x: 0.5900706052780151
y: 0.6332628726959229
z: -0.01818726770579815
, x: 0.5761739611625671
y: 0.6103128790855408
z: -0.02612270973622799
, x: 0.6398565769195557
y: 0.7146796584129333
z: 0.00037795474054291844
, x: 0.6327584981918335
y: 0.664742112159729
z: -0.01900930516421795
, x: 0.6185933947563171
y: 0.6788529753684998
z: -0.027856558561325073
, x: 0.608582615852356
y: 0.7038666605949402
z: -0.02858475036919117
, x: 0.6637341976165771
y: 0.7209500074386597
z: -0.00867991428822279
, x: 0.6569468379020691
y: 0.6776191592216492
z: -0.022852081805467606
, x: 0.6406705975532532
y: 0.6804220676422119
z: -0.027257872745394707
, x: 0.6261120438575745
y: 0.6992385983467102
z: -0.02726462297141552
]",
