,Frame ID,Hand 1 Landmarks,Hand 2 Landmarks
0,0,"[x: 0.5806790590286255
y: 0.6255821585655212
z: 5.014124440094747e-07
, x: 0.5340557098388672
y: 0.5844785571098328
z: -0.015562713146209717
, x: 0.511667788028717
y: 0.5118994116783142
z: -0.024937644600868225
, x: 0.5227863788604736
y: 0.44387638568878174
z: -0.03773951902985573
, x: 0.5377268195152283
y: 0.38827329874038696
z: -0.04903466999530792
, x: 0.5155216455459595
y: 0.432245135307312
z: -0.0054121133871376514
, x: 0.49131330847740173
y: 0.35521119832992554
z: -0.02304461970925331
, x: 0.47771701216697693
y: 0.30446577072143555
z: -0.034086208790540695
, x: 0.46909940242767334
y: 0.2619278132915497
z: -0.04087366908788681
, x: 0.5489140748977661
y: 0.4185624122619629
z: -0.012497328221797943
, x: 0.548186719417572
y: 0.3154480457305908
z: -0.0324908122420311
, x: 0.5441672205924988
y: 0.2542312741279602
z: -0.045454733073711395
, x: 0.5455895662307739
y: 0.20498311519622803
z: -0.05178119242191315
, x: 0.5818515419960022
y: 0.4276491105556488
z: -0.022624870762228966
, x: 0.5815709233283997
y: 0.35468727350234985
z: -0.04960300028324127
, x: 0.5648840665817261
y: 0.403205931186676
z: -0.05077466741204262
, x: 0.5579649806022644
y: 0.4483851194381714
z: -0.043088752776384354
, x: 0.6143414378166199
y: 0.45031604170799255
z: -0.03438570350408554
, x: 0.6142997145652771
y: 0.38794419169425964
z: -0.05250179395079613
, x: 0.5978760123252869
y: 0.4125923216342926
z: -0.04854307696223259
, x: 0.5857003331184387
y: 0.4473804235458374
z: -0.0405440479516983
]",
1,1,"[x: 0.5806509852409363
y: 0.6391192674636841
z: 4.978618903805909e-07
, x: 0.5277202725410461
y: 0.5960471630096436
z: -0.015652935951948166
, x: 0.5036052465438843
y: 0.5254918336868286
z: -0.02557802014052868
, x: 0.5174081325531006
y: 0.4577437937259674
z: -0.03968953713774681
, x: 0.5318542718887329
y: 0.40299245715141296
z: -0.052769534289836884
, x: 0.5117718577384949
y: 0.43414396047592163
z: -0.0034922119230031967
, x: 0.4886087477207184
y: 0.35338515043258667
z: -0.023465987294912338
, x: 0.47561293840408325
y: 0.29998406767845154
z: -0.036775194108486176
, x: 0.4664838910102844
y: 0.25471869111061096
z: -0.04485199227929115
, x: 0.5470471978187561
y: 0.41966933012008667
z: -0.012154954485595226
, x: 0.549659788608551
y: 0.314256489276886
z: -0.03449982404708862
, x: 0.5460826754570007
y: 0.25072574615478516
z: -0.04937471076846123
, x: 0.5472368597984314
y: 0.20146670937538147
z: -0.05650386959314346
, x: 0.5807752013206482
y: 0.43009036779403687
z: -0.024139786139130592
, x: 0.5789981484413147
y: 0.35780975222587585
z: -0.05543588846921921
, x: 0.5616536140441895
y: 0.41044262051582336
z: -0.05768826603889465
, x: 0.5547518134117126
y: 0.45871928334236145
z: -0.04946121200919151
, x: 0.6141365766525269
y: 0.45627403259277344
z: -0.037615008652210236
, x: 0.6091195940971375
y: 0.39821726083755493
z: -0.0587686263024807
, x: 0.5929757952690125
y: 0.4310217797756195
z: -0.053799260407686234
, x: 0.5830978751182556
y: 0.4712425172328949
z: -0.044182054698467255
]",
2,2,"[x: 0.5757048726081848
y: 0.6553959250450134
z: 5.079551783637726e-07
, x: 0.5219056606292725
y: 0.6146931052207947
z: -0.01657387800514698
, x: 0.4985543489456177
y: 0.5392152070999146
z: -0.02727983146905899
, x: 0.5129812359809875
y: 0.47016534209251404
z: -0.042123664170503616
, x: 0.5278517007827759
y: 0.4158805310726166
z: -0.055978160351514816
, x: 0.5072376728057861
y: 0.4413565993309021
z: -0.007820657454431057
, x: 0.48413485288619995
y: 0.3572462201118469
z: -0.028741905465722084
, x: 0.47062528133392334
y: 0.30197256803512573
z: -0.0424952507019043
, x: 0.4617075026035309
y: 0.25507664680480957
z: -0.05094306915998459
, x: 0.5438842177391052
y: 0.4283696115016937
z: -0.01709185354411602
, x: 0.5461577773094177
y: 0.3178572952747345
z: -0.04097031429409981
, x: 0.5437913537025452
y: 0.2498638927936554
z: -0.05716598406434059
, x: 0.5470811724662781
y: 0.1976388394832611
z: -0.0653328001499176
, x: 0.5786316394805908
y: 0.44106337428092957
z: -0.02936571277678013
, x: 0.5773834586143494
y: 0.3682425916194916
z: -0.06151742860674858
, x: 0.5596474409103394
y: 0.4229753613471985
z: -0.06322083622217178
, x: 0.5518314242362976
y: 0.47270169854164124
z: -0.05474231019616127
, x: 0.6127732992172241
y: 0.4694545865058899
z: -0.04323768615722656
, x: 0.6075336337089539
y: 0.4064779281616211
z: -0.06502947956323624
, x: 0.5916642546653748
y: 0.4417642056941986
z: -0.05901176854968071
, x: 0.5812337398529053
y: 0.48516663908958435
z: -0.04869336262345314
]",
3,3,"[x: 0.5773389339447021
y: 0.6609807014465332
z: 5.00959004057222e-07
, x: 0.5223602056503296
y: 0.6169570684432983
z: -0.017093483358621597
, x: 0.49866294860839844
y: 0.540185809135437
z: -0.027762288227677345
, x: 0.5128905773162842
y: 0.47044166922569275
z: -0.042731352150440216
, x: 0.5274829864501953
y: 0.41497310996055603
z: -0.05633193254470825
, x: 0.5063762664794922
y: 0.43949243426322937
z: -0.004845823626965284
, x: 0.48411625623703003
y: 0.3560742735862732
z: -0.02567991055548191
, x: 0.47135859727859497
y: 0.30183708667755127
z: -0.03967589512467384
, x: 0.4628560245037079
y: 0.2551857829093933
z: -0.048397477716207504
, x: 0.5437312126159668
y: 0.42726409435272217
z: -0.013844244182109833
, x: 0.5459450483322144
y: 0.3176878094673157
z: -0.038312967866659164
, x: 0.5434452295303345
y: 0.25078630447387695
z: -0.05450676754117012
, x: 0.5465195178985596
y: 0.19719886779785156
z: -0.06261292845010757
, x: 0.5788544416427612
y: 0.4407598674297333
z: -0.0262551698833704
, x: 0.5781763792037964
y: 0.3667728304862976
z: -0.05966874212026596
, x: 0.5592935085296631
y: 0.42698079347610474
z: -0.06036281958222389
, x: 0.5504636168479919
y: 0.4793056547641754
z: -0.050713054835796356
, x: 0.6133809089660645
y: 0.4702984094619751
z: -0.04038909450173378
, x: 0.6084586977958679
y: 0.4075220227241516
z: -0.06263700872659683
, x: 0.591106116771698
y: 0.44418230652809143
z: -0.05610271915793419
, x: 0.5791097283363342
y: 0.48664888739585876
z: -0.045278649777173996
]",
4,4,"[x: 0.5754451751708984
y: 0.6614375710487366
z: 5.024882625548344e-07
, x: 0.5199194550514221
y: 0.6152293682098389
z: -0.014907610602676868
, x: 0.49501436948776245
y: 0.5395668745040894
z: -0.024914909154176712
, x: 0.5089430809020996
y: 0.4704344868659973
z: -0.03967161476612091
, x: 0.5262588262557983
y: 0.4151148200035095
z: -0.05321016162633896
, x: 0.5028291344642639
y: 0.44113537669181824
z: -0.002677402924746275
, x: 0.48105621337890625
y: 0.3555533289909363
z: -0.022383248433470726
, x: 0.4688042402267456
y: 0.30124610662460327
z: -0.035522107034921646
, x: 0.46062272787094116
y: 0.2553464472293854
z: -0.04349792003631592
, x: 0.5392045378684998
y: 0.42894136905670166
z: -0.012135767377912998
, x: 0.5420892834663391
y: 0.3180100917816162
z: -0.03471459820866585
, x: 0.5394530296325684
y: 0.2506839334964752
z: -0.05018401890993118
, x: 0.541827917098999
y: 0.1986859142780304
z: -0.05813376605510712
, x: 0.5733572840690613
y: 0.4416049122810364
z: -0.02492680214345455
, x: 0.5726069211959839
y: 0.36952394247055054
z: -0.05639321357011795
, x: 0.5532457828521729
y: 0.4241671562194824
z: -0.05929262563586235
, x: 0.5437944531440735
y: 0.4742230772972107
z: -0.05168542265892029
, x: 0.6063435673713684
y: 0.4688067138195038
z: -0.03922131285071373
, x: 0.6025484800338745
y: 0.4062579870223999
z: -0.0598287358880043
, x: 0.585689127445221
y: 0.4378238618373871
z: -0.055017437785863876
, x: 0.5740381479263306
y: 0.4778417944908142
z: -0.046015236526727676
]",
5,5,"[x: 0.5753061771392822
y: 0.6608951687812805
z: 5.064740093985165e-07
, x: 0.5200855135917664
y: 0.6172617077827454
z: -0.01664033904671669
, x: 0.49540746212005615
y: 0.5409453511238098
z: -0.027177227661013603
, x: 0.5088918209075928
y: 0.4713192284107208
z: -0.04225661978125572
, x: 0.5256989002227783
y: 0.4167335629463196
z: -0.05610336735844612
, x: 0.5029850006103516
y: 0.4428870677947998
z: -0.0047407932579517365
, x: 0.48069363832473755
y: 0.35783836245536804
z: -0.025044351816177368
, x: 0.46799206733703613
y: 0.3035917282104492
z: -0.038689933717250824
, x: 0.4602106213569641
y: 0.25679534673690796
z: -0.047541603446006775
, x: 0.5394341349601746
y: 0.4298422336578369
z: -0.013489709235727787
, x: 0.5418985486030579
y: 0.31944042444229126
z: -0.03716191649436951
, x: 0.5392472743988037
y: 0.25203603506088257
z: -0.05350278690457344
, x: 0.5419324040412903
y: 0.1983528435230255
z: -0.06253163516521454
, x: 0.5734344124794006
y: 0.44234392046928406
z: -0.02563663199543953
, x: 0.5736228823661804
y: 0.36513617634773254
z: -0.05801468715071678
, x: 0.5542545318603516
y: 0.42310023307800293
z: -0.06047194078564644
, x: 0.5441340208053589
y: 0.4752824902534485
z: -0.05283565819263458
, x: 0.6067401766777039
y: 0.4699805676937103
z: -0.03951195999979973
, x: 0.6036940217018127
y: 0.4076617658138275
z: -0.06194097548723221
, x: 0.5860879421234131
y: 0.4407910704612732
z: -0.0581204816699028
, x: 0.572553277015686
y: 0.4819439947605133
z: -0.04981658235192299
]",
6,6,"[x: 0.573539137840271
y: 0.653963565826416
z: 5.111631935506011e-07
, x: 0.520386278629303
y: 0.6071516275405884
z: -0.016818486154079437
, x: 0.4973042607307434
y: 0.531789243221283
z: -0.02794901467859745
, x: 0.5094625949859619
y: 0.46359574794769287
z: -0.043825626373291016
, x: 0.5250636339187622
y: 0.4087675213813782
z: -0.058548904955387115
, x: 0.5048778653144836
y: 0.4430731236934662
z: -0.006823134142905474
, x: 0.482215940952301
y: 0.3577800989151001
z: -0.028618576005101204
, x: 0.46960321068763733
y: 0.3035327196121216
z: -0.04304702952504158
, x: 0.46210867166519165
y: 0.2563043236732483
z: -0.05246797204017639
, x: 0.5406378507614136
y: 0.4290851354598999
z: -0.01586274988949299
, x: 0.5433518886566162
y: 0.3175347149372101
z: -0.04096753150224686
, x: 0.5397682189941406
y: 0.25108087062835693
z: -0.05823567882180214
, x: 0.541980504989624
y: 0.1956232786178589
z: -0.06813361495733261
, x: 0.5734382271766663
y: 0.4395942687988281
z: -0.028215935453772545
, x: 0.5723557472229004
y: 0.35913148522377014
z: -0.06138702854514122
, x: 0.5534359812736511
y: 0.41857776045799255
z: -0.06348282098770142
, x: 0.5451094508171082
y: 0.4708331525325775
z: -0.05560898035764694
, x: 0.6061985492706299
y: 0.4651600420475006
z: -0.04230894148349762
, x: 0.6024314761161804
y: 0.40066325664520264
z: -0.0640636682510376
, x: 0.5857395529747009
y: 0.4323897659778595
z: -0.05968406796455383
, x: 0.5743756890296936
y: 0.47179460525512695
z: -0.05134601518511772
]",
7,7,"[x: 0.5748927593231201
y: 0.6490697860717773
z: 4.767449865994422e-07
, x: 0.5212455987930298
y: 0.602325439453125
z: -0.015101870521903038
, x: 0.4988631308078766
y: 0.5252234935760498
z: -0.02393403649330139
, x: 0.5123134255409241
y: 0.4560229778289795
z: -0.03760025277733803
, x: 0.5285259485244751
y: 0.4035573899745941
z: -0.050022125244140625
, x: 0.5086231827735901
y: 0.43844687938690186
z: -0.0015328206354752183
, x: 0.4865839183330536
y: 0.3554283082485199
z: -0.020887013524770737
, x: 0.47445833683013916
y: 0.30275386571884155
z: -0.034164730459451675
, x: 0.4675840735435486
y: 0.25694721937179565
z: -0.04291191324591637
, x: 0.5431723594665527
y: 0.4246002435684204
z: -0.009956265799701214
, x: 0.5460104942321777
y: 0.31670939922332764
z: -0.03278033435344696
, x: 0.5430383086204529
y: 0.2517601549625397
z: -0.04883306100964546
, x: 0.5462399125099182
y: 0.19762831926345825
z: -0.0578748993575573
, x: 0.5750274062156677
y: 0.43426012992858887
z: -0.02176821231842041
, x: 0.5747110247612
y: 0.35456976294517517
z: -0.05280108377337456
, x: 0.5551105737686157
y: 0.4126874506473541
z: -0.054532550275325775
, x: 0.5460065007209778
y: 0.4647488296031952
z: -0.046548809856176376
, x: 0.6072179675102234
y: 0.45809000730514526
z: -0.03529245778918266
, x: 0.6039597392082214
y: 0.39468905329704285
z: -0.05573015287518501
, x: 0.5868724584579468
y: 0.42488083243370056
z: -0.05140766128897667
, x: 0.5747990608215332
y: 0.46358761191368103
z: -0.04310428723692894
]",
8,8,"[x: 0.5749645233154297
y: 0.647219717502594
z: 4.839813527723891e-07
, x: 0.5207870006561279
y: 0.6012877821922302
z: -0.015083497390151024
, x: 0.49801862239837646
y: 0.5240558385848999
z: -0.02349337749183178
, x: 0.5131917595863342
y: 0.45327797532081604
z: -0.036490548402071
, x: 0.5295196175575256
y: 0.3996935188770294
z: -0.04834495112299919
, x: 0.5073650479316711
y: 0.43852847814559937
z: -0.0008055941434577107
, x: 0.4859922528266907
y: 0.35519838333129883
z: -0.019685229286551476
, x: 0.4741935729980469
y: 0.3024575114250183
z: -0.0326172336935997
, x: 0.46732091903686523
y: 0.25674572587013245
z: -0.0409746989607811
, x: 0.5423803329467773
y: 0.4244740903377533
z: -0.009015162475407124
, x: 0.5457044243812561
y: 0.31625163555145264
z: -0.030823756009340286
, x: 0.543621838092804
y: 0.2512468695640564
z: -0.046292874962091446
, x: 0.5473937392234802
y: 0.1981402039527893
z: -0.054900866001844406
, x: 0.5749325752258301
y: 0.43412625789642334
z: -0.020691748708486557
, x: 0.5749527215957642
y: 0.35573649406433105
z: -0.05144114792346954
, x: 0.5552926063537598
y: 0.4111950993537903
z: -0.05429728329181671
, x: 0.5464597940444946
y: 0.462093323469162
z: -0.047175705432891846
, x: 0.607418954372406
y: 0.45789217948913574
z: -0.033959195017814636
, x: 0.6032073497772217
y: 0.39585694670677185
z: -0.05449451133608818
, x: 0.5859572291374207
y: 0.4254728853702545
z: -0.050737760961055756
, x: 0.5745829343795776
y: 0.46380460262298584
z: -0.04287901520729065
]",
9,9,"[x: 0.5755959749221802
y: 0.6448153853416443
z: 4.6462523073387274e-07
, x: 0.5226925015449524
y: 0.5985899567604065
z: -0.014831794425845146
, x: 0.4999774694442749
y: 0.5223583579063416
z: -0.023344969376921654
, x: 0.5154370069503784
y: 0.45284321904182434
z: -0.03645886108279228
, x: 0.5337402820587158
y: 0.4008214771747589
z: -0.048359084874391556
, x: 0.5113409757614136
y: 0.4382348656654358
z: -0.0028434880077838898
, x: 0.48996347188949585
y: 0.35415130853652954
z: -0.021919434890151024
, x: 0.4782457649707794
y: 0.30141955614089966
z: -0.034728728234767914
, x: 0.4715438783168793
y: 0.25555604696273804
z: -0.04296433925628662
, x: 0.5455576181411743
y: 0.4237070679664612
z: -0.010868153534829617
, x: 0.5485029816627502
y: 0.31547755002975464
z: -0.03264463320374489
, x: 0.5457870364189148
y: 0.25133955478668213
z: -0.047245096415281296
, x: 0.5490456819534302
y: 0.1980496048927307
z: -0.05532210320234299
, x: 0.5771594643592834
y: 0.432321697473526
z: -0.022184938192367554
, x: 0.5782817602157593
y: 0.3519352078437805
z: -0.05178556591272354
, x: 0.561253011226654
y: 0.40741416811943054
z: -0.05233817175030708
, x: 0.5543224811553955
y: 0.4579242467880249
z: -0.043796125799417496
, x: 0.60870361328125
y: 0.45517683029174805
z: -0.03530087321996689
, x: 0.6075255274772644
y: 0.38962796330451965
z: -0.05455320328474045
, x: 0.5906233191490173
y: 0.4166502058506012
z: -0.04968344047665596
, x: 0.5781368017196655
y: 0.45441389083862305
z: -0.04114491492509842
]",
