Time,Quaternions, Accelaration 
[2023-07-28 13:41:53.915770],[0.167,0.571,0.125,0.794], [0.570,-0.128,0.537]
[2023-07-28 13:41:54.026021],[0.295,0.343,0.317,0.833], [0.577,0.383,0.889]
[2023-07-28 13:41:54.137213],[0.340,0.465,0.467,0.671], [0.443,0.747,0.236]
[2023-07-28 13:41:54.246466],[0.150,0.784,0.574,0.180], [-0.366,0.087,-1.420]
[2023-07-28 13:41:54.356199],[0.140,0.898,0.415,0.052], [0.198,0.251,-0.887]
[2023-07-28 13:41:54.465421],[0.128,0.834,0.535,-0.040], [-0.093,0.060,-1.063]
[2023-07-28 13:41:54.573681],[0.029,-0.866,-0.499,0.023], [0.174,-0.225,-0.715]
[2023-07-28 13:41:54.683453],[0.540,-0.673,-0.505,-0.034], [0.669,-0.648,-0.337]
[2023-07-28 13:41:54.792697],[0.786,-0.427,-0.445,-0.053], [0.920,-0.817,0.272]
[2023-07-28 13:41:54.903913],[0.802,-0.202,-0.557,0.083], [0.964,-0.350,0.073]
[2023-07-28 13:41:55.011171],[0.423,0.011,-0.894,0.145], [0.718,-0.144,-0.529]
[2023-07-28 13:41:55.119365],[0.039,-0.239,0.967,0.073], [-0.421,0.453,-1.213]
[2023-07-28 13:41:55.228589],[0.117,-0.381,0.917,0.012], [-0.091,0.006,-0.973]
[2023-07-28 13:41:55.339806],[0.106,0.471,-0.863,0.150], [0.333,-0.218,-0.826]
[2023-07-28 13:41:55.450536],[0.242,0.488,-0.831,0.114], [0.514,0.093,-0.730]
[2023-07-28 13:41:55.559758],[0.567,0.336,-0.751,-0.044], [0.668,0.233,-0.385]
[2023-07-28 13:41:55.670977],[0.699,0.169,-0.664,-0.206], [1.408,1.286,-0.047]
[2023-07-28 13:41:55.780198],[0.854,-0.357,-0.191,-0.328], [0.392,0.058,0.991]
[2023-07-28 13:41:55.891414],[0.575,-0.657,0.168,-0.458], [0.293,-0.716,0.264]
[2023-07-28 13:41:56.001667],[0.046,-0.914,0.331,-0.229], [0.104,-0.513,-0.997]
[2023-07-28 13:41:56.109892],[0.258,0.886,-0.382,0.041], [0.159,0.407,-1.241]
[2023-07-28 13:41:56.219114],[0.337,0.863,-0.340,0.163], [0.132,0.488,-0.855]
[2023-07-28 13:41:56.328336],[0.324,0.851,-0.220,0.351], [0.617,0.943,-0.900]
[2023-07-28 13:41:56.437654],[0.222,0.752,-0.028,0.620], [0.915,-0.140,0.130]
[2023-07-28 13:41:56.548875],[0.197,0.668,0.108,0.709], [0.949,0.155,-0.091]
[2023-07-28 13:41:56.656616],[0.141,0.635,0.137,0.747], [0.834,0.229,0.332]
[2023-07-28 13:41:56.763845],[0.269,0.379,0.311,0.829], [1.018,0.321,0.103]
[2023-07-28 13:41:56.875060],[0.189,0.089,0.361,0.909], [0.082,0.516,0.590]
[2023-07-28 13:41:56.984284],[0.213,0.215,-0.509,-0.806], [-0.077,0.627,0.671]
[2023-07-28 13:41:57.093533],[0.224,0.434,-0.532,-0.692], [-0.625,0.965,0.476]
[2023-07-28 13:41:57.204725],[0.167,0.397,-0.528,-0.732], [-0.771,0.610,0.445]
[2023-07-28 13:41:57.315950],[0.226,0.626,-0.495,-0.558], [-0.591,0.850,0.047]
[2023-07-28 13:41:57.424175],[0.270,0.704,-0.467,-0.462], [-0.423,0.836,-0.235]
[2023-07-28 13:41:57.533397],[0.292,0.772,-0.552,-0.119], [-0.247,0.810,-0.778]
[2023-07-28 13:41:57.641625],[0.095,0.902,-0.415,0.076], [0.010,0.092,-1.037]
[2023-07-28 13:41:57.749882],[0.042,-0.912,0.373,-0.164], [0.158,-0.293,-1.006]
[2023-07-28 13:41:57.860615],[0.267,-0.892,0.355,-0.081], [-0.346,-0.719,-0.887]
[2023-07-28 13:41:57.970863],[0.875,-0.443,0.192,-0.013], [0.114,-0.174,0.047]
[2023-07-28 13:41:58.080086],[0.973,-0.148,0.175,0.002], [-0.454,0.110,0.188]
[2023-07-28 13:41:58.191337],[0.909,-0.412,-0.007,0.063], [0.270,-0.346,0.889]
[2023-07-28 13:41:58.300568],[0.895,-0.411,-0.063,0.160], [-0.237,-0.878,1.135]
[2023-07-28 13:41:58.410787],[0.879,-0.400,-0.116,0.231], [-0.189,-0.374,0.663]
[2023-07-28 13:41:58.522004],[0.877,-0.407,-0.110,0.230], [-0.263,-0.827,0.588]
[2023-07-28 13:41:58.631227],[0.877,-0.407,-0.110,0.230], [-0.252,-0.811,0.622]
[2023-07-28 13:41:58.741447],[0.833,-0.503,-0.098,0.208], [0.235,-1.980,-0.801]
[2023-07-28 13:41:58.848678],[0.752,-0.575,-0.132,0.294], [-0.465,-1.167,0.438]
[2023-07-28 13:41:58.959405],[0.700,-0.364,-0.216,0.575], [0.443,-0.534,0.945]
[2023-07-28 13:41:59.066634],[0.602,-0.230,-0.151,0.750], [0.063,0.306,0.539]
[2023-07-28 13:41:59.173863],[0.558,-0.220,-0.110,0.792], [-0.411,-0.119,0.963]
[2023-07-28 13:41:59.282101],[0.631,0.190,0.078,0.748], [-0.016,0.464,0.698]
[2023-07-28 13:41:59.388319],[0.447,0.592,0.514,0.431], [-0.245,1.701,-0.009]
[2023-07-28 13:41:59.496544],[0.414,0.571,0.584,0.402], [0.410,-0.663,-0.268]
[2023-07-28 13:41:59.604771],[0.254,0.581,0.771,-0.056], [-0.439,-0.324,-1.084]
[2023-07-28 13:41:59.714989],[0.218,0.522,0.808,-0.165], [-0.508,-0.544,-0.809]
[2023-07-28 13:41:59.825209],[0.141,0.600,0.739,-0.272], [-0.135,-0.831,-0.403]
[2023-07-28 13:41:59.934435],[0.074,0.637,0.637,-0.427], [-0.654,-0.492,-0.284]
[2023-07-28 13:42:00.045653],[0.090,-0.487,-0.337,0.801], [-0.655,-0.617,-0.033]
[2023-07-28 13:42:00.150887],[0.147,-0.370,0.009,0.917], [-0.441,0.150,0.839]
[2023-07-28 13:42:00.257117],[0.133,-0.377,0.042,0.916], [-0.487,0.315,1.008]
[2023-07-28 13:42:00.362855],[0.155,-0.272,0.409,0.857], [-0.479,1.280,1.089]
[2023-07-28 13:42:00.469104],[0.031,0.677,-0.368,-0.637], [-0.471,0.852,0.137]
[2023-07-28 13:42:00.574340],[0.003,-0.776,0.307,0.551], [-0.841,0.790,0.029]
[2023-07-28 13:42:00.679606],[0.035,0.627,-0.592,-0.506], [-0.213,0.820,-0.063]
[2023-07-28 13:42:00.784858],[0.103,0.622,-0.727,-0.273], [-0.040,0.540,-1.108]
[2023-07-28 13:42:00.890092],[0.051,0.670,-0.667,-0.320], [-0.210,0.485,-0.914]
[2023-07-28 13:42:00.996324],[0.002,-0.797,0.533,0.284], [-0.506,0.693,-0.578]
[2023-07-28 13:42:01.104548],[0.020,0.871,-0.476,0.121], [0.105,0.287,-0.964]
[2023-07-28 13:42:01.213772],[0.045,0.706,-0.326,0.627], [1.026,0.062,-0.361]
[2023-07-28 13:42:01.321998],[0.041,0.331,-0.184,0.925], [1.016,-0.183,0.827]
[2023-07-28 13:42:01.432224],[0.077,-0.165,0.149,-0.972], [0.419,-0.354,0.934]
[2023-07-28 13:42:01.542449],[0.366,0.173,-0.037,-0.914], [0.089,0.062,1.354]
[2023-07-28 13:42:01.652674],[0.589,0.305,-0.116,-0.739], [-0.061,0.225,1.015]
[2023-07-28 13:42:01.760898],[0.633,0.431,-0.130,-0.630], [-0.280,0.453,0.965]
[2023-07-28 13:42:01.868637],[0.680,0.186,0.156,-0.692], [-0.147,0.108,0.980]
[2023-07-28 13:42:01.978857],[0.608,-0.150,0.402,-0.668], [0.602,0.184,0.735]
[2023-07-28 13:42:02.087085],[0.593,-0.381,0.527,-0.475], [0.034,-0.799,-0.438]
[2023-07-28 13:42:02.196307],[0.373,-0.570,0.718,-0.142], [0.048,-0.756,-1.038]
[2023-07-28 13:42:02.307543],[0.280,-0.697,0.652,-0.100], [-0.226,-0.298,-1.164]
[2023-07-28 13:42:02.417766],[0.074,-0.661,0.724,-0.185], [0.425,0.026,-1.091]
[2023-07-28 13:42:02.526988],[0.290,0.605,-0.692,0.266], [0.862,0.344,-0.482]
[2023-07-28 13:42:02.638238],[0.900,0.142,-0.412,0.006], [0.644,0.106,0.494]
[2023-07-28 13:42:02.746457],[0.957,-0.110,-0.023,-0.268], [-0.251,-0.609,1.348]
[2023-07-28 13:42:02.855666],[0.953,-0.163,-0.189,-0.169], [0.264,-0.552,0.999]
[2023-07-28 13:42:02.964887],[0.882,-0.243,-0.392,0.099], [0.330,-0.524,0.576]
[2023-07-28 13:42:03.072627],[0.785,-0.377,-0.396,0.292], [-0.043,-0.881,0.603]
[2023-07-28 13:42:03.181852],[0.801,-0.239,-0.413,0.360], [0.307,-0.622,1.112]
[2023-07-28 13:42:03.293066],[0.723,-0.192,-0.608,0.267], [0.655,-0.499,0.687]
[2023-07-28 13:42:03.401291],[0.536,-0.099,-0.791,0.279], [0.792,-0.631,0.132]
[2023-07-28 13:42:03.510512],[0.243,0.102,-0.964,0.045], [0.352,-0.442,-0.705]
[2023-07-28 13:42:03.619733],[0.284,-0.284,0.908,0.123], [-0.587,0.091,-1.090]
[2023-07-28 13:42:03.728954],[0.693,-0.308,0.578,0.302], [-1.086,-0.221,-0.868]
[2023-07-28 13:42:03.839173],[0.703,-0.241,0.641,0.189], [-0.805,0.075,-0.332]
[2023-07-28 13:42:03.951389],[0.375,-0.127,0.918,0.034], [-0.640,-0.020,-0.377]
[2023-07-28 13:42:04.059615],[0.051,-0.099,-0.980,-0.163], [0.527,-0.127,-0.689]
[2023-07-28 13:42:04.170831],[0.262,-0.097,-0.932,-0.230], [0.935,-0.142,-0.616]
[2023-07-28 13:42:04.280568],[0.445,0.014,-0.852,-0.277], [0.833,0.193,-0.482]
[2023-07-28 13:42:04.390790],[0.787,0.084,-0.561,-0.242], [0.904,0.009,0.511]
[2023-07-28 13:42:04.501010],[0.884,0.207,-0.352,-0.228], [0.432,0.372,1.067]
[2023-07-28 13:42:04.611227],[0.865,0.270,-0.369,-0.205], [0.156,0.354,0.941]
[2023-07-28 13:42:04.722452],[0.752,0.375,-0.418,-0.344], [0.744,0.675,0.375]
[2023-07-28 13:42:04.831668],[0.716,0.448,-0.354,-0.402], [0.336,0.206,0.655]
[2023-07-28 13:42:04.940890],[0.366,0.513,-0.641,-0.438], [0.492,0.875,-0.335]
[2023-07-28 13:42:05.052130],[0.563,0.363,-0.407,-0.621], [0.639,0.973,1.303]
[2023-07-28 13:42:05.160356],[0.736,0.187,-0.048,-0.649], [-0.083,-0.273,0.579]
[2023-07-28 13:42:05.270574],[0.685,0.263,-0.196,-0.651], [0.257,0.449,0.692]
[2023-07-28 13:42:05.378316],[0.702,0.242,-0.155,-0.651], [0.203,0.259,1.062]
[2023-07-28 13:42:05.488535],[0.706,0.237,-0.145,-0.651], [0.113,0.039,1.034]
[2023-07-28 13:42:05.597757],[0.705,0.238,-0.147,-0.651], [0.125,0.068,1.044]
[2023-07-28 13:42:05.708973],[0.706,0.237,-0.146,-0.651], [0.120,0.052,1.042]
[2023-07-28 13:42:05.818195],[0.721,0.241,-0.141,-0.634], [0.119,0.068,1.022]
[2023-07-28 13:42:05.928414],[0.740,0.245,-0.133,-0.612], [0.121,0.055,1.043]
