Time,w,x,y,z,ax,ay,az
2023-07-29T19:22:05.949606,0.7148879170417786,-0.628210723400116,-0.20368240773677826,0.22978271543979645,0.4375,-2.15576171875,1.81494140625
2023-07-29T19:22:05.950601,0.6796746850013733,-0.6556015610694885,-0.23444214463233948,0.23079372942447662,0.4375,-2.15576171875,1.81494140625
2023-07-29T19:22:05.957188,0.6796746850013733,-0.6556015610694885,-0.23444214463233948,0.23079372942447662,-0.2958984375,-2.3544921875,1.412109375
2023-07-29T19:22:05.958185,0.6419674754142761,-0.6895024180412292,-0.2552328109741211,0.217532217502594,-0.2958984375,-2.3544921875,1.412109375
2023-07-29T19:22:05.964167,0.6419674754142761,-0.6895024180412292,-0.2552328109741211,0.217532217502594,-1.0517578125,-2.57373046875,0.662109375
2023-07-29T19:22:05.965673,0.5985208749771118,-0.7204540371894836,-0.27735766768455505,0.21398933231830597,-1.0517578125,-2.57373046875,0.662109375
2023-07-29T19:22:05.980073,0.5985208749771118,-0.7204540371894836,-0.27735766768455505,0.21398933231830597,-1.38427734375,-2.67626953125,0.69287109375
2023-07-29T19:22:05.980073,0.5500729084014893,-0.7551440596580505,-0.2896639108657837,0.2080194354057312,-1.38427734375,-2.67626953125,0.69287109375
2023-07-29T19:22:05.986577,0.5500729084014893,-0.7551440596580505,-0.2896639108657837,0.2080194354057312,-0.5712890625,-2.52294921875,1.11669921875
2023-07-29T19:22:05.987935,0.5100966691970825,-0.7781040668487549,-0.30220088362693787,0.20743675529956818,-0.5712890625,-2.52294921875,1.11669921875
2023-07-29T19:22:05.993917,0.5100966691970825,-0.7781040668487549,-0.30220088362693787,0.20743675529956818,0.73291015625,-2.1689453125,1.43798828125
2023-07-29T19:22:05.995448,0.4786941707134247,-0.7966362237930298,-0.304282546043396,0.20888923108577728,0.73291015625,-2.1689453125,1.43798828125
2023-07-29T19:22:06.002554,0.4786941707134247,-0.7966362237930298,-0.304282546043396,0.20888923108577728,0.16845703125,-1.06884765625,1.3251953125
2023-07-29T19:22:06.009905,0.4549531042575836,-0.8053931593894958,-0.31309184432029724,0.2152514010667801,0.16845703125,-1.06884765625,1.3251953125
2023-07-29T19:22:06.016444,0.4549531042575836,-0.8053931593894958,-0.31309184432029724,0.2152514010667801,-0.064453125,-1.34033203125,0.712890625
2023-07-29T19:22:06.017844,0.44244658946990967,-0.8022059798240662,-0.32140398025512695,0.23959539830684662,-0.064453125,-1.34033203125,0.712890625
2023-07-29T19:22:06.023828,0.44244658946990967,-0.8022059798240662,-0.32140398025512695,0.23959539830684662,0.39794921875,-0.48486328125,0.443359375
2023-07-29T19:22:06.025334,0.4287795126438141,-0.8058741092681885,-0.32640865445137024,0.24530069530010223,0.39794921875,-0.48486328125,0.443359375
2023-07-29T19:22:06.032407,0.4287795126438141,-0.8058741092681885,-0.32640865445137024,0.24530069530010223,0.04931640625,-0.29638671875,-0.51953125
2023-07-29T19:22:06.040105,0.4086793065071106,-0.8118705153465271,-0.3362690508365631,0.24651718139648438,0.04931640625,-0.29638671875,-0.51953125
2023-07-29T19:22:06.046643,0.4086793065071106,-0.8118705153465271,-0.3362690508365631,0.24651718139648438,-0.2158203125,-0.68359375,-1.17041015625
2023-07-29T19:22:06.047955,0.38162320852279663,-0.8163805603981018,-0.3476584553718567,0.2588823735713959,-0.2158203125,-0.68359375,-1.17041015625
2023-07-29T19:22:06.053942,0.38162320852279663,-0.8163805603981018,-0.3476584553718567,0.2588823735713959,0.2216796875,-1.056640625,-0.7109375
2023-07-29T19:22:06.055451,0.3540427088737488,-0.8236814737319946,-0.3541773557662964,0.2660095989704132,0.2216796875,-1.056640625,-0.7109375
2023-07-29T19:22:06.062567,0.3540427088737488,-0.8236814737319946,-0.3541773557662964,0.2660095989704132,0.5048828125,-0.70849609375,0.7353515625
2023-07-29T19:22:06.062567,0.32767340540885925,-0.8451402187347412,-0.3528555929660797,0.23207980394363403,0.5048828125,-0.70849609375,0.7353515625
2023-07-29T19:22:06.077531,0.32767340540885925,-0.8451402187347412,-0.3528555929660797,0.23207980394363403,-0.509765625,-0.71923828125,0.25830078125
2023-07-29T19:22:06.077531,0.29476314783096313,-0.8693978786468506,-0.3437918424606323,0.19765910506248474,-0.509765625,-0.71923828125,0.25830078125
2023-07-29T19:22:06.084516,0.29476314783096313,-0.8693978786468506,-0.3437918424606323,0.19765910506248474,-0.88134765625,-0.60400390625,-0.5048828125
2023-07-29T19:22:06.085513,0.2690892219543457,-0.8740095496177673,-0.3536517322063446,0.19654159247875214,-0.88134765625,-0.60400390625,-0.5048828125
2023-07-29T19:22:06.092614,0.2690892219543457,-0.8740095496177673,-0.3536517322063446,0.19654159247875214,0.69921875,-0.78564453125,0.81640625
2023-07-29T19:22:06.092614,0.2586406171321869,-0.8784367442131042,-0.3566339612007141,0.18511109054088593,0.69921875,-0.78564453125,0.81640625
2023-07-29T19:22:06.106778,0.2586406171321869,-0.8784367442131042,-0.3566339612007141,0.18511109054088593,0.376953125,-0.5859375,0.544921875
2023-07-29T19:22:06.107991,0.2524251937866211,-0.8851219415664673,-0.35549217462539673,0.16268375515937805,0.376953125,-0.5859375,0.544921875
2023-07-29T19:22:06.115488,0.2524251937866211,-0.8851219415664673,-0.35549217462539673,0.16268375515937805,-0.33544921875,-0.6669921875,-1.3896484375
2023-07-29T19:22:06.115488,0.24452169239521027,-0.8875745534896851,-0.3569778800010681,0.15807375311851501,-0.33544921875,-0.6669921875,-1.3896484375
2023-07-29T19:22:06.122624,0.24452169239521027,-0.8875745534896851,-0.3569778800010681,0.15807375311851501,-0.251953125,-1.2724609375,-2.01171875
2023-07-29T19:22:06.122624,0.23587444424629211,-0.8845111131668091,-0.36560386419296265,0.16833607852458954,-0.251953125,-1.2724609375,-2.01171875
2023-07-29T19:22:06.137001,0.23587444424629211,-0.8845111131668091,-0.36560386419296265,0.16833607852458954,0.02880859375,-1.0888671875,-1.9140625
