Time,Quaternions, Accelaration 
[2023-07-26 15:56:59.335084],[0.794,-0.078,-0.518,-0.307], [0.086,0.879,0.218]
[2023-07-26 15:56:59.435333],[0.793,-0.079,-0.516,-0.315], [0.060,0.999,0.289]
[2023-07-26 15:56:59.535577],[0.792,-0.077,-0.515,-0.318], [0.081,0.989,0.271]
[2023-07-26 15:56:59.635825],[0.795,-0.075,-0.512,-0.317], [0.072,0.941,0.265]
[2023-07-26 15:56:59.736076],[0.797,-0.080,-0.509,-0.316], [0.056,0.940,0.357]
[2023-07-26 15:56:59.836325],[0.799,-0.080,-0.505,-0.317], [0.025,0.940,0.261]
[2023-07-26 15:56:59.936575],[0.797,-0.082,-0.509,-0.313], [0.048,0.939,0.343]
[2023-07-26 15:57:00.036821],[0.797,-0.086,-0.510,-0.313], [0.190,0.939,0.319]
[2023-07-26 15:57:00.137070],[0.795,-0.086,-0.515,-0.308], [-0.049,0.882,0.364]
[2023-07-26 15:57:00.237320],[0.795,-0.087,-0.516,-0.307], [0.113,0.917,0.340]
[2023-07-26 15:57:00.337569],[0.795,-0.087,-0.515,-0.307], [0.105,0.924,0.377]
[2023-07-26 15:57:00.437818],[0.795,-0.088,-0.518,-0.304], [0.068,0.940,0.308]
[2023-07-26 15:57:00.538067],[0.793,-0.088,-0.522,-0.301], [0.091,0.942,0.279]
[2023-07-26 15:57:00.638320],[0.791,-0.089,-0.525,-0.301], [0.151,0.927,0.334]
[2023-07-26 15:57:00.738566],[0.791,-0.088,-0.527,-0.298], [0.138,0.943,0.317]
[2023-07-26 15:57:00.838812],[0.792,-0.087,-0.527,-0.297], [0.106,0.951,0.288]
[2023-07-26 15:57:00.939073],[0.791,-0.086,-0.527,-0.297], [0.086,0.946,0.276]
[2023-07-26 15:57:01.039329],[0.793,-0.085,-0.526,-0.296], [0.145,0.949,0.292]
[2023-07-26 15:57:01.139587],[0.793,-0.084,-0.527,-0.294], [0.097,0.942,0.255]
[2023-07-26 15:57:01.239830],[0.793,-0.084,-0.527,-0.294], [0.083,0.947,0.259]
[2023-07-26 15:57:01.340079],[0.793,-0.084,-0.527,-0.294], [0.110,0.940,0.266]
