Time,Quaternions, Accelaration 
[2023-07-27 14:00:33.238319],[0.794,-0.196,0.558,0.144], [-1.010,-0.015,0.280]
[2023-07-27 14:00:33.348055],[0.780,-0.198,0.577,0.142], [-0.956,-0.015,0.328]
[2023-07-27 14:00:33.457277],[0.775,-0.196,0.584,0.140], [-1.002,-0.014,0.306]
[2023-07-27 14:00:33.565501],[0.775,-0.194,0.586,0.140], [-0.969,-0.008,0.252]
[2023-07-27 14:00:33.673727],[0.774,-0.193,0.586,0.139], [-0.948,-0.012,0.281]
[2023-07-27 14:00:33.782967],[0.780,-0.192,0.579,0.139], [-0.979,-0.005,0.312]
[2023-07-27 14:00:33.891208],[0.802,-0.188,0.549,0.145], [-0.899,-0.020,0.345]
[2023-07-27 14:00:34.000430],[0.825,-0.183,0.512,0.156], [-0.495,-0.013,0.388]
[2023-07-27 14:00:34.109652],[0.853,-0.175,0.460,0.173], [-0.701,-0.023,0.476]
[2023-07-27 14:00:34.217911],[0.898,-0.161,0.357,0.198], [-0.614,-0.018,0.678]
[2023-07-27 14:00:34.327169],[0.937,-0.149,0.223,0.226], [-0.427,-0.045,0.844]
[2023-07-27 14:00:34.435395],[0.951,-0.138,0.132,0.242], [-0.390,-0.062,0.979]
[2023-07-27 14:00:34.542627],[0.959,-0.123,0.042,0.251], [-0.292,-0.069,1.058]
[2023-07-27 14:00:34.651403],[0.960,-0.116,-0.009,0.255], [-0.185,-0.087,1.054]
[2023-07-27 14:00:34.762638],[0.957,-0.107,-0.066,0.260], [0.074,-0.091,1.063]
[2023-07-27 14:00:34.872858],[0.956,-0.104,-0.090,0.259], [0.113,-0.106,1.052]
[2023-07-27 14:00:34.983079],[0.957,-0.107,-0.083,0.255], [0.020,-0.103,1.032]
[2023-07-27 14:00:35.093333],[0.958,-0.109,-0.073,0.255], [0.039,-0.098,1.030]
[2023-07-27 14:00:35.201559],[0.958,-0.114,-0.056,0.256], [0.073,-0.114,1.062]
[2023-07-27 14:00:35.310782],[0.951,-0.099,-0.132,0.261], [0.004,-0.097,0.987]
[2023-07-27 14:00:35.420006],[0.926,-0.073,-0.255,0.268], [0.178,-0.119,0.867]
[2023-07-27 14:00:35.529229],[0.896,-0.050,-0.349,0.269], [0.469,-0.142,0.729]
[2023-07-27 14:00:35.639454],[0.843,-0.028,-0.463,0.272], [0.895,-0.172,0.720]
[2023-07-27 14:00:35.748193],[0.814,-0.021,-0.511,0.276], [0.953,-0.204,0.672]
[2023-07-27 14:00:35.858409],[0.800,-0.017,-0.531,0.280], [0.878,-0.185,0.584]
[2023-07-27 14:00:35.969627],[0.783,-0.015,-0.547,0.294], [0.917,-0.196,0.477]
[2023-07-27 14:00:36.079846],[0.770,-0.014,-0.558,0.310], [0.928,-0.221,0.423]
[2023-07-27 14:00:36.190066],[0.765,-0.017,-0.564,0.310], [0.864,-0.248,0.493]
[2023-07-27 14:00:36.300286],[0.762,-0.020,-0.567,0.313], [0.861,-0.264,0.547]
[2023-07-27 14:00:36.410504],[0.759,-0.025,-0.568,0.318], [0.940,-0.253,0.511]
[2023-07-27 14:00:36.517730],[0.760,-0.024,-0.566,0.318], [0.852,-0.275,0.468]
[2023-07-27 14:00:36.626953],[0.775,-0.031,-0.550,0.310], [1.131,-0.232,0.542]
[2023-07-27 14:00:36.737193],[0.798,-0.044,-0.522,0.299], [0.974,-0.204,0.536]
[2023-07-27 14:00:36.845418],[0.842,-0.069,-0.454,0.283], [0.586,-0.266,0.734]
[2023-07-27 14:00:36.955150],[0.890,-0.096,-0.352,0.274], [0.666,-0.229,0.883]
[2023-07-27 14:00:37.064372],[0.928,-0.123,-0.229,0.268], [0.365,-0.216,1.007]
[2023-07-27 14:00:37.173595],[0.943,-0.138,-0.146,0.266], [0.190,-0.175,0.890]
[2023-07-27 14:00:37.283814],[0.952,-0.150,-0.072,0.258], [-0.008,-0.169,1.050]
[2023-07-27 14:00:37.394033],[0.945,-0.138,-0.129,0.266], [0.280,-0.191,1.040]
[2023-07-27 14:00:37.505247],[0.944,-0.139,-0.135,0.267], [0.200,-0.185,1.021]
[2023-07-27 14:00:37.616464],[0.946,-0.139,-0.126,0.264], [0.184,-0.180,1.007]
[2023-07-27 14:00:37.724690],[0.952,-0.145,-0.080,0.257], [0.062,-0.179,1.016]
[2023-07-27 14:00:37.833913],[0.956,-0.162,0.030,0.243], [-0.113,-0.138,1.043]
[2023-07-27 14:00:37.944132],[0.946,-0.178,0.145,0.229], [-0.264,-0.131,0.990]
[2023-07-27 14:00:38.053863],[0.929,-0.189,0.238,0.213], [-0.497,-0.084,0.824]
[2023-07-27 14:00:38.163086],[0.898,-0.202,0.343,0.187], [-0.888,-0.083,0.586]
[2023-07-27 14:00:38.272308],[0.853,-0.210,0.450,0.158], [-0.806,-0.067,0.520]
[2023-07-27 14:00:38.380530],[0.818,-0.208,0.518,0.140], [-0.963,-0.052,0.421]
[2023-07-27 14:00:38.491749],[0.807,-0.199,0.538,0.139], [-0.951,-0.018,0.203]
[2023-07-27 14:00:38.599980],[0.799,-0.194,0.551,0.141], [-0.875,-0.010,0.357]
[2023-07-27 14:00:38.710193],[0.797,-0.192,0.555,0.141], [-0.918,-0.016,0.351]
[2023-07-27 14:00:38.820412],[0.800,-0.191,0.552,0.138], [-1.012,-0.028,0.337]
[2023-07-27 14:00:38.928637],[0.815,-0.190,0.529,0.141], [-0.980,-0.018,0.354]
[2023-07-27 14:00:39.036862],[0.844,-0.185,0.478,0.155], [-0.676,-0.029,0.462]
[2023-07-27 14:00:39.145117],[0.869,-0.181,0.427,0.171], [-1.007,0.003,0.517]
[2023-07-27 14:00:39.254340],[0.913,-0.165,0.315,0.200], [-0.902,-0.024,0.712]
[2023-07-27 14:00:39.363077],[0.952,-0.135,0.136,0.237], [-0.100,-0.047,1.020]
[2023-07-27 14:00:39.471300],[0.958,-0.124,0.049,0.252], [-0.093,-0.073,1.003]
[2023-07-27 14:00:39.581519],[0.959,-0.113,-0.036,0.259], [-0.125,-0.086,0.995]
[2023-07-27 14:00:39.692737],[0.956,-0.112,-0.072,0.263], [0.068,-0.123,1.113]
[2023-07-27 14:00:39.801959],[0.957,-0.119,-0.054,0.261], [0.016,-0.112,1.096]
[2023-07-27 14:00:39.909187],[0.957,-0.120,-0.050,0.259], [0.014,-0.098,1.040]
[2023-07-27 14:00:40.020404],[0.955,-0.109,-0.094,0.259], [-0.059,-0.091,0.989]
[2023-07-27 14:00:40.130625],[0.945,-0.093,-0.177,0.258], [0.150,-0.093,0.962]
[2023-07-27 14:00:40.241843],[0.922,-0.069,-0.284,0.256], [0.399,-0.152,0.989]
[2023-07-27 14:00:40.353088],[0.880,-0.034,-0.401,0.254], [0.701,-0.127,0.824]
[2023-07-27 14:00:40.463819],[0.834,-0.012,-0.490,0.254], [0.670,-0.118,0.625]
[2023-07-27 14:00:40.573043],[0.806,-0.011,-0.530,0.262], [0.910,-0.152,0.646]
[2023-07-27 14:00:40.684337],[0.785,-0.016,-0.553,0.279], [0.869,-0.187,0.571]
[2023-07-27 14:00:40.794535],[0.777,-0.016,-0.562,0.284], [0.861,-0.229,0.539]
[2023-07-27 14:00:40.905753],[0.771,-0.013,-0.569,0.285], [0.839,-0.186,0.568]
[2023-07-27 14:00:41.013978],[0.767,-0.016,-0.573,0.289], [0.950,-0.187,0.440]
[2023-07-27 14:00:41.122229],[0.774,-0.020,-0.567,0.282], [0.931,-0.199,0.479]
[2023-07-27 14:00:41.231427],[0.796,-0.026,-0.540,0.272], [0.638,-0.203,0.503]
[2023-07-27 14:00:41.340653],[0.829,-0.039,-0.491,0.265], [0.677,-0.194,0.693]
[2023-07-27 14:00:41.448881],[0.881,-0.061,-0.393,0.257], [0.464,-0.190,0.775]
[2023-07-27 14:00:41.560099],[0.911,-0.082,-0.310,0.259], [0.570,-0.197,0.983]
[2023-07-27 14:00:41.670834],[0.942,-0.111,-0.187,0.255], [0.303,-0.153,1.024]
[2023-07-27 14:00:41.780055],[0.957,-0.135,-0.080,0.245], [-0.032,-0.121,0.913]
[2023-07-27 14:00:41.888280],[0.960,-0.143,-0.030,0.241], [-0.273,-0.119,1.017]
[2023-07-27 14:00:41.997501],[0.957,-0.134,-0.055,0.250], [0.084,-0.109,1.018]
[2023-07-27 14:00:42.108717],[0.957,-0.136,-0.070,0.248], [0.000,-0.148,1.054]
[2023-07-27 14:00:42.217941],[0.957,-0.136,-0.073,0.245], [-0.033,-0.139,1.062]
[2023-07-27 14:00:42.328161],[0.958,-0.138,-0.054,0.244], [0.020,-0.128,1.038]
[2023-07-27 14:00:42.437382],[0.960,-0.153,0.031,0.232], [-0.078,-0.139,1.057]
[2023-07-27 14:00:42.547599],[0.950,-0.167,0.152,0.215], [-0.368,-0.099,0.990]
[2023-07-27 14:00:42.657845],[0.917,-0.183,0.298,0.191], [-0.704,-0.060,0.698]
[2023-07-27 14:00:42.768604],[0.873,-0.191,0.417,0.169], [-0.788,-0.031,0.603]
[2023-07-27 14:00:42.877842],[0.836,-0.191,0.490,0.153], [-0.870,-0.016,0.443]
[2023-07-27 14:00:42.986087],[0.809,-0.187,0.539,0.145], [-0.970,0.006,0.310]
[2023-07-27 14:00:43.097328],[0.800,-0.179,0.554,0.144], [-0.996,0.023,0.282]
[2023-07-27 14:00:43.205532],[0.797,-0.175,0.560,0.142], [-0.933,0.016,0.271]
[2023-07-27 14:00:43.315754],[0.798,-0.174,0.560,0.142], [-0.958,0.035,0.285]
[2023-07-27 14:00:43.424028],[0.801,-0.174,0.555,0.140], [-1.000,0.027,0.285]
[2023-07-27 14:00:43.534248],[0.806,-0.173,0.548,0.141], [-0.958,0.023,0.317]
[2023-07-27 14:00:43.642474],[0.827,-0.171,0.514,0.149], [-0.799,0.023,0.378]
[2023-07-27 14:00:43.749700],[0.852,-0.170,0.468,0.161], [-1.070,0.027,0.483]
[2023-07-27 14:00:43.857928],[0.895,-0.164,0.371,0.184], [-1.019,0.014,0.590]
[2023-07-27 14:00:43.968661],[0.932,-0.152,0.252,0.213], [-0.753,0.012,0.787]
[2023-07-27 14:00:44.077883],[0.958,-0.130,0.097,0.236], [-0.422,-0.034,0.910]
[2023-07-27 14:00:44.187101],[0.962,-0.111,-0.028,0.247], [-0.086,-0.056,1.006]
[2023-07-27 14:00:44.296327],[0.958,-0.099,-0.098,0.249], [-0.056,-0.069,1.026]
[2023-07-27 14:00:44.404551],[0.950,-0.092,-0.159,0.251], [0.235,-0.088,1.005]
[2023-07-27 14:00:44.513776],[0.949,-0.092,-0.168,0.252], [0.185,-0.102,1.021]
[2023-07-27 14:00:44.622003],[0.949,-0.091,-0.169,0.251], [0.186,-0.099,1.049]
[2023-07-27 14:00:44.733220],[0.948,-0.092,-0.170,0.251], [0.193,-0.097,1.041]
[2023-07-27 14:00:44.842449],[0.950,-0.095,-0.161,0.252], [0.138,-0.105,1.056]
[2023-07-27 14:00:44.952695],[0.949,-0.097,-0.159,0.255], [0.134,-0.105,1.069]
[2023-07-27 14:00:45.059925],[0.940,-0.087,-0.208,0.257], [0.190,-0.114,1.063]
[2023-07-27 14:00:45.170691],[0.921,-0.066,-0.283,0.260], [0.224,-0.117,0.940]
[2023-07-27 14:00:45.278919],[0.894,-0.042,-0.362,0.261], [0.519,-0.107,0.873]
[2023-07-27 14:00:45.388140],[0.850,-0.020,-0.457,0.260], [0.648,-0.111,0.735]
[2023-07-27 14:00:45.497361],[0.806,-0.009,-0.530,0.263], [0.867,-0.132,0.629]
[2023-07-27 14:00:45.606585],[0.781,-0.011,-0.564,0.268], [1.056,-0.179,0.642]
[2023-07-27 14:00:45.716807],[0.772,-0.006,-0.573,0.275], [0.872,-0.171,0.484]
[2023-07-27 14:00:45.828031],[0.764,-0.009,-0.580,0.282], [0.905,-0.180,0.526]
[2023-07-27 14:00:45.937252],[0.762,-0.011,-0.582,0.282], [0.880,-0.178,0.531]
[2023-07-27 14:00:46.048469],[0.763,-0.012,-0.581,0.283], [0.886,-0.186,0.482]
[2023-07-27 14:00:46.159728],[0.765,-0.012,-0.578,0.283], [0.886,-0.204,0.534]
[2023-07-27 14:00:46.269943],[0.770,-0.013,-0.573,0.282], [0.927,-0.194,0.540]
[2023-07-27 14:00:46.377683],[0.796,-0.023,-0.536,0.282], [0.747,-0.149,0.604]
[2023-07-27 14:00:46.486904],[0.847,-0.050,-0.449,0.281], [0.584,-0.172,0.701]
[2023-07-27 14:00:46.596125],[0.892,-0.076,-0.350,0.277], [0.586,-0.190,0.953]
[2023-07-27 14:00:46.706346],[0.926,-0.101,-0.240,0.274], [0.250,-0.140,0.900]
[2023-07-27 14:00:46.815572],[0.942,-0.119,-0.160,0.270], [0.238,-0.138,1.014]
[2023-07-27 14:00:46.925813],[0.953,-0.127,-0.084,0.261], [0.054,-0.113,0.974]
[2023-07-27 14:00:47.037031],[0.958,-0.124,-0.051,0.254], [-0.141,-0.098,1.031]
[2023-07-27 14:00:47.148247],[0.959,-0.131,-0.029,0.249], [-0.167,-0.097,1.061]
