Time,Quaternions, Accelaration 
[2023-07-28 13:42:28.667511],[0.867,0.200,0.455,0.031], [-0.250,-0.811,0.620]
[2023-07-28 13:42:28.777734],[0.867,0.195,0.457,0.040], [-0.252,-0.812,0.621]
[2023-07-28 13:42:28.886985],[0.866,0.191,0.459,0.048], [-0.251,-0.810,0.621]
[2023-07-28 13:42:28.997224],[0.866,0.186,0.461,0.057], [-0.251,-0.811,0.621]
[2023-07-28 13:42:29.103441],[0.866,0.185,0.462,0.059], [-0.251,-0.811,0.623]
[2023-07-28 13:42:29.211666],[0.865,0.183,0.462,0.062], [-0.248,-0.812,0.622]
[2023-07-28 13:42:29.320906],[0.865,0.183,0.462,0.063], [-0.251,-0.809,0.623]
[2023-07-28 13:42:29.432122],[0.865,0.183,0.462,0.063], [-0.254,-0.812,0.624]
[2023-07-28 13:42:29.542858],[0.865,0.182,0.463,0.064], [-0.251,-0.813,0.621]
[2023-07-28 13:42:29.651081],[0.865,0.182,0.463,0.065], [-0.250,-0.809,0.622]
[2023-07-28 13:42:29.759305],[0.865,0.181,0.463,0.067], [-0.248,-0.810,0.623]
[2023-07-28 13:42:29.868545],[0.865,0.181,0.463,0.067], [-0.252,-0.812,0.621]
[2023-07-28 13:42:29.976756],[0.865,0.180,0.463,0.068], [-0.252,-0.812,0.624]
[2023-07-28 13:42:30.086972],[0.865,0.180,0.463,0.068], [-0.250,-0.811,0.622]
[2023-07-28 13:42:30.197194],[0.865,0.180,0.463,0.068], [-0.254,-0.812,0.625]
[2023-07-28 13:42:30.307414],[0.865,0.180,0.463,0.068], [-0.251,-0.812,0.622]
[2023-07-28 13:42:30.416652],[0.865,0.180,0.463,0.068], [-0.252,-0.811,0.621]
[2023-07-28 13:42:30.525877],[0.865,0.180,0.463,0.068], [-0.251,-0.816,0.625]
