Time,Quaternions, Accelaration 
[2023-07-26 15:36:45.692439],[0.937,0.029,0.051,-0.343], [-0.402,-0.001,0.987]
[2023-07-26 15:36:45.800049],[0.936,0.036,0.055,-0.346], [-0.435,0.010,0.953]
[2023-07-26 15:36:45.910268],[0.933,0.049,0.069,-0.350], [-0.513,0.058,0.868]
[2023-07-26 15:36:46.017622],[0.931,0.055,0.072,-0.354], [-0.583,0.072,0.930]
[2023-07-26 15:36:46.127588],[0.932,0.053,0.066,-0.352], [-0.467,0.030,0.896]
[2023-07-26 15:36:46.234077],[0.929,0.061,0.071,-0.357], [-0.525,0.051,0.902]
[2023-07-26 15:36:46.344510],[0.923,0.072,0.076,-0.369], [-0.608,0.026,0.916]
[2023-07-26 15:36:46.454086],[0.920,0.082,0.069,-0.377], [-0.516,0.070,0.915]
[2023-07-26 15:36:46.562988],[0.915,0.090,0.072,-0.386], [-0.501,0.063,0.898]
[2023-07-26 15:36:46.671612],[0.916,0.078,0.043,-0.391], [-0.448,0.083,0.949]
[2023-07-26 15:36:46.781474],[0.921,0.072,0.022,-0.382], [-0.512,0.137,0.965]
[2023-07-26 15:36:46.890223],[0.926,0.094,0.038,-0.362], [-0.460,0.367,0.942]
[2023-07-26 15:36:46.999579],[0.928,0.133,0.025,-0.347], [-0.697,0.920,0.934]
[2023-07-26 15:36:47.108068],[0.915,0.136,0.000,-0.381], [-0.333,0.141,0.669]
[2023-07-26 15:36:47.216391],[0.906,0.106,-0.020,-0.409], [-0.520,-0.002,0.815]
[2023-07-26 15:36:47.324026],[0.902,0.076,-0.020,-0.424], [-0.346,-0.001,0.932]
[2023-07-26 15:36:47.431610],[0.902,0.068,-0.016,-0.425], [-0.183,-0.004,1.072]
[2023-07-26 15:36:47.540041],[0.900,0.068,-0.009,-0.431], [-0.417,0.030,0.935]
[2023-07-26 15:36:47.648586],[0.898,0.060,-0.018,-0.436], [-0.385,0.055,0.942]
[2023-07-26 15:36:47.757211],[0.896,0.060,-0.016,-0.440], [-0.389,0.054,0.942]
[2023-07-26 15:36:47.866279],[0.894,0.060,-0.013,-0.445], [-0.331,-0.011,0.977]
[2023-07-26 15:36:47.974058],[0.894,0.061,-0.009,-0.444], [-0.343,-0.020,0.893]
[2023-07-26 15:36:48.084589],[0.897,0.063,-0.009,-0.438], [-0.374,0.105,0.974]
[2023-07-26 15:36:48.192075],[0.898,0.064,-0.008,-0.434], [-0.438,0.015,1.031]
[2023-07-26 15:36:48.300238],[0.904,0.065,-0.018,-0.422], [-0.458,-0.308,1.041]
[2023-07-26 15:36:48.409789],[0.925,0.087,-0.052,-0.365], [-0.365,-0.139,0.935]
[2023-07-26 15:36:48.518735],[0.950,0.099,-0.079,-0.284], [-0.075,0.307,0.761]
[2023-07-26 15:36:48.627820],[0.968,0.056,-0.064,-0.238], [-0.114,0.410,1.226]
[2023-07-26 15:36:48.737081],[0.970,0.025,-0.053,-0.236], [-0.073,0.507,1.168]
[2023-07-26 15:36:48.846943],[0.965,0.028,-0.073,-0.251], [-0.201,0.245,1.130]
[2023-07-26 15:36:48.957079],[0.964,0.028,-0.073,-0.255], [-0.271,0.112,1.002]
[2023-07-26 15:36:49.067278],[0.964,0.025,-0.076,-0.253], [-0.194,0.177,1.018]
[2023-07-26 15:36:49.176692],[0.964,0.028,-0.069,-0.254], [-0.190,0.178,1.001]
[2023-07-26 15:36:49.285983],[0.965,0.030,-0.063,-0.254], [-0.249,0.180,1.001]
[2023-07-26 15:36:49.394311],[0.965,0.030,-0.060,-0.254], [-0.224,0.173,0.996]
[2023-07-26 15:36:49.503483],[0.965,0.030,-0.059,-0.255], [-0.239,0.171,0.995]
[2023-07-26 15:36:49.613392],[0.965,0.031,-0.057,-0.255], [-0.251,0.177,0.994]
[2023-07-26 15:36:49.722190],[0.965,0.031,-0.057,-0.255], [-0.246,0.167,0.997]
[2023-07-26 15:36:49.831104],[0.965,0.031,-0.057,-0.256], [-0.262,0.161,0.993]
[2023-07-26 15:36:49.939553],[0.965,0.031,-0.057,-0.256], [-0.237,0.171,0.994]
[2023-07-26 15:36:50.046660],[0.965,0.031,-0.057,-0.256], [-0.245,0.172,0.993]
[2023-07-26 15:36:50.159655],[0.965,0.031,-0.058,-0.256], [-0.242,0.169,0.996]
[2023-07-26 15:36:50.268941],[0.964,0.031,-0.058,-0.256], [-0.251,0.173,0.995]
[2023-07-26 15:36:50.379698],[0.964,0.029,-0.058,-0.256], [-0.248,0.166,0.997]
[2023-07-26 15:36:50.488457],[0.964,0.029,-0.058,-0.256], [-0.236,0.166,0.994]
[2023-07-26 15:36:50.597428],[0.964,0.029,-0.058,-0.256], [-0.245,0.167,0.993]
[2023-07-26 15:36:50.707268],[0.964,0.030,-0.058,-0.256], [-0.252,0.175,1.000]
[2023-07-26 15:36:50.817073],[0.964,0.029,-0.058,-0.256], [-0.241,0.167,0.994]
[2023-07-26 15:36:50.924893],[0.964,0.029,-0.059,-0.256], [-0.241,0.167,0.993]
[2023-07-26 15:36:51.033508],[0.964,0.029,-0.059,-0.256], [-0.249,0.167,0.992]
[2023-07-26 15:36:51.144965],[0.964,0.029,-0.060,-0.256], [-0.237,0.167,0.992]
[2023-07-26 15:36:51.258378],[0.964,0.028,-0.060,-0.256], [-0.246,0.169,0.993]
[2023-07-26 15:36:51.362055],[0.964,0.028,-0.061,-0.256], [-0.246,0.167,0.994]
[2023-07-26 15:36:51.464350],[0.964,0.028,-0.061,-0.256], [-0.236,0.161,0.989]
[2023-07-26 15:36:51.577714],[0.964,0.028,-0.061,-0.256], [-0.241,0.169,0.993]
[2023-07-26 15:36:51.681640],[0.964,0.028,-0.061,-0.256], [-0.235,0.167,0.990]
[2023-07-26 15:36:51.790813],[0.964,0.027,-0.062,-0.256], [-0.242,0.165,0.995]
[2023-07-26 15:36:51.901700],[0.964,0.027,-0.063,-0.256], [-0.239,0.173,0.996]
[2023-07-26 15:36:52.006116],[0.964,0.026,-0.064,-0.256], [-0.229,0.161,0.990]
[2023-07-26 15:36:52.118631],[0.964,0.026,-0.064,-0.256], [-0.237,0.168,0.996]
[2023-07-26 15:36:52.231228],[0.964,0.026,-0.064,-0.256], [-0.242,0.170,0.996]
[2023-07-26 15:36:52.353351],[0.964,0.026,-0.064,-0.256], [-0.240,0.168,0.990]
[2023-07-26 15:36:52.458750],[0.964,0.026,-0.065,-0.256], [-0.241,0.163,1.002]
[2023-07-26 15:36:52.561653],[0.964,0.024,-0.068,-0.256], [-0.236,0.203,1.031]
[2023-07-26 15:36:52.665801],[0.965,0.024,-0.065,-0.254], [-0.252,0.235,1.051]
[2023-07-26 15:36:52.775551],[0.969,0.037,-0.063,-0.234], [-0.482,0.330,1.080]
[2023-07-26 15:36:52.885785],[0.975,0.048,-0.089,-0.198], [-0.167,0.288,0.816]
[2023-07-26 15:36:52.996249],[0.976,0.037,-0.115,-0.181], [0.038,0.231,0.797]
[2023-07-26 15:36:53.110244],[0.974,0.006,-0.136,-0.183], [-0.078,-0.004,0.977]
[2023-07-26 15:36:53.212244],[0.971,-0.025,-0.133,-0.197], [-0.074,-0.004,1.120]
[2023-07-26 15:36:53.319922],[0.970,-0.038,-0.118,-0.210], [-0.125,0.120,1.068]
[2023-07-26 15:36:53.422745],[0.970,-0.048,-0.112,-0.211], [-0.173,0.111,1.011]
[2023-07-26 15:36:53.530772],[0.970,-0.051,-0.102,-0.216], [-0.056,0.066,1.014]
[2023-07-26 15:36:53.631469],[0.969,-0.043,-0.090,-0.224], [-0.134,0.087,1.035]
[2023-07-26 15:36:53.743246],[0.969,-0.040,-0.082,-0.228], [-0.166,0.072,1.010]
[2023-07-26 15:36:53.851188],[0.970,-0.042,-0.081,-0.224], [-0.202,0.074,1.008]
[2023-07-26 15:36:53.959163],[0.971,-0.044,-0.081,-0.223], [-0.155,0.061,1.040]
[2023-07-26 15:36:54.066805],[0.971,-0.043,-0.075,-0.223], [-0.179,0.052,1.041]
[2023-07-26 15:36:54.174505],[0.971,-0.040,-0.071,-0.225], [-0.130,0.068,1.036]
[2023-07-26 15:36:54.277603],[0.971,-0.037,-0.068,-0.226], [-0.190,0.062,1.023]
[2023-07-26 15:36:54.387829],[0.971,-0.036,-0.067,-0.227], [-0.202,0.073,1.011]
[2023-07-26 15:36:54.494687],[0.971,-0.036,-0.066,-0.228], [-0.204,0.068,1.020]
[2023-07-26 15:36:54.597462],[0.971,-0.036,-0.065,-0.228], [-0.221,0.054,1.028]
[2023-07-26 15:36:54.712543],[0.971,-0.033,-0.064,-0.228], [-0.211,0.074,1.026]
[2023-07-26 15:36:54.820112],[0.971,-0.029,-0.061,-0.230], [-0.210,0.083,1.024]
[2023-07-26 15:36:54.922717],[0.971,-0.029,-0.061,-0.230], [-0.231,0.083,1.009]
[2023-07-26 15:36:55.029661],[0.971,-0.032,-0.063,-0.228], [-0.208,0.091,1.010]
[2023-07-26 15:36:55.134454],[0.971,-0.037,-0.065,-0.225], [-0.199,0.066,1.016]
[2023-07-26 15:36:55.248879],[0.971,-0.037,-0.060,-0.227], [-0.299,0.079,1.038]
[2023-07-26 15:36:55.355161],[0.970,-0.030,-0.072,-0.232], [-0.152,0.093,1.059]
[2023-07-26 15:36:55.466404],[0.971,-0.041,-0.069,-0.227], [-0.350,0.013,1.015]
